method,max_level,ndof_final,nel_final,nlevels_final,wallclock_s,cpu_s,err_u_max,err_u_avg,err_sigma_r_max,err_sigma_r_avg,err_sigma_t_max,err_sigma_t_avg
L2,1,135,3,1,2.588,7.359,3.385e-03,8.028e-04,6.847e+01,7.809e+00,6.535e+01,1.068e+01
L2,2,135,3,1,4.688,22.062,9.335e-04,3.796e-04,7.367e+01,9.114e+00,7.024e+01,1.155e+01
L2,3,384,31,3,11.034,68.031,1.485e-04,8.289e-05,1.892e+01,2.606e+00,1.968e+01,3.449e+00
L2,4,999,150,3,71.967,516.594,2.293e-03,5.458e-04,9.275e+00,1.511e+00,7.891e+00,2.735e+00
QI,1,135,3,1,1.497,10.609,4.239e-03,1.057e-03,1.186e+02,1.222e+01,1.176e+02,1.335e+01
QI,2,135,3,1,5.325,35.047,1.329e-03,4.281e-04,1.245e+02,1.880e+01,1.220e+02,1.410e+01
QI,3,384,45,3,18.074,126.891,5.561e-04,2.780e-04,4.666e+01,4.889e+00,4.742e+01,5.981e+00
QI,4,867,129,3,106.013,824.141,5.582e-03,1.214e-03,5.584e+01,3.613e+00,5.133e+01,4.155e+00
QI_C0,1,135,3,1,1.336,8.922,3.630e-03,8.776e-04,1.192e+02,1.160e+01,1.182e+02,1.373e+01
QI_C0,2,135,3,1,5.555,33.484,4.019e-03,1.078e-03,2.865e+01,7.143e+00,2.792e+01,9.110e+00
QI_C0,3,384,24,2,17.047,118.047,1.346e-03,4.077e-04,6.974e+01,7.897e+00,6.970e+01,6.242e+00
QI_C0,4,1017,143,3,135.603,991.734,1.461e-03,4.097e-04,2.665e+01,2.991e+00,2.797e+01,4.268e+00
