r	sigma
100	-260.2072188
101.010101	-263.0742585
102.020202	-265.6627565
103.030303	-267.9727128
104.040404	-270.0041273
105.0505051	-271.757
106.0606061	-273.2313311
107.0707071	-274.4271204
108.0808081	-275.344368
109.0909091	-275.9830738
110.1010101	-276.3432379
111.1111111	-276.4248603
112.1212121	-276.2279409
113.1313131	-275.7524798
114.1414141	-274.998477
115.1515152	-273.9659324
116.1616162	-272.6548461
117.1717172	-271.0652181
118.1818182	-269.1970484
119.1919192	-267.0503369
120.2020202	-264.6250836
121.2121212	-261.9212887
122.2222222	-258.938952
123.2323232	-255.6780736
124.2424242	-252.1386534
125.2525253	-248.3206915
126.2626263	-244.2241879
127.2727273	-239.8491425
128.2828283	-235.1955554
129.2929293	-230.2634266
130.3030303	-225.052756
131.3131313	-219.5635438
132.3232323	-213.7957897
133.3333333	-207.749494
134.3434343	-201.6386561
135.3535354	-195.6772757
136.3636364	-189.8653528
137.3737374	-184.2028873
138.3838384	-178.6898794
139.3939394	-173.3263289
140.4040404	-168.112236
141.4141414	-163.0476005
142.4242424	-158.1324225
143.4343434	-153.366702
144.4444444	-148.7504389
145.4545455	-144.2836334
146.4646465	-139.9662853
147.4747475	-135.7983947
148.4848485	-131.7799617
149.4949495	-127.910986
150.5050505	-124.1914679
151.5151515	-120.6214073
152.5252525	-117.2008041
153.5353535	-113.9296585
154.5454545	-110.8079703
155.5555556	-107.8357396
156.5656566	-105.0129664
157.5757576	-102.3396506
158.5858586	-99.8157924
159.5959596	-97.44139165
160.6060606	-95.21644837
161.6161616	-93.14096259
162.6262626	-91.21493428
163.6363636	-89.43836347
164.6464646	-87.81125014
165.6565657	-86.33359429
166.6666667	-85.00539593
167.6767677	-83.69506027
168.6868687	-82.27099255
169.6969697	-80.73319275
170.7070707	-79.08166089
171.7171717	-77.31639696
172.7272727	-75.43740095
173.7373737	-73.44467288
174.7474747	-71.33821273
175.7575758	-69.11802052
176.7676768	-66.78409623
177.7777778	-64.33643988
178.7878788	-61.77505145
179.7979798	-59.09993096
180.8080808	-56.3110784
181.8181818	-53.40849376
182.8282828	-50.39217706
183.8383838	-47.26212828
184.8484848	-44.01834744
185.8585859	-40.66083452
186.8686869	-37.18958954
187.8787879	-33.60461248
188.8888889	-29.90590336
189.8989899	-26.09346216
190.9090909	-22.1672889
191.9191919	-18.12738357
192.9292929	-13.97374616
193.9393939	-9.706376686
194.9494949	-5.325275141
195.959596	-0.8304415265
196.969697	3.778124158
197.979798	8.500421913
198.989899	13.33645174
200	18.28621363
