r	sigma
100	-303.997171
101.010101	-303.9181079
102.020202	-303.5788921
103.030303	-302.9795236
104.040404	-302.1200023
105.0505051	-301.0003283
106.0606061	-299.6205015
107.0707071	-297.9805221
108.0808081	-296.0803899
109.0909091	-293.9201049
110.1010101	-291.4996673
111.1111111	-288.8190768
112.1212121	-285.8783337
113.1313131	-282.6774378
114.1414141	-279.2163892
115.1515152	-275.4951879
116.1616162	-271.5138338
117.1717172	-267.272327
118.1818182	-262.7706675
119.1919192	-258.0088552
120.2020202	-252.9868902
121.2121212	-247.7047725
122.2222222	-242.162502
123.2323232	-236.3600788
124.2424242	-230.2975029
125.2525253	-223.9747743
126.2626263	-217.3918929
127.2727273	-210.5488587
128.2828283	-203.4456719
129.2929293	-196.0823323
130.3030303	-188.45884
131.3131313	-180.5751949
132.3232323	-172.4313971
133.3333333	-164.0274466
134.3434343	-164.9842875
135.3535354	-165.6812024
136.3636364	-166.1181913
137.3737374	-166.2952542
138.3838384	-166.2123912
139.3939394	-165.8696022
140.4040404	-165.2668872
141.4141414	-164.4042462
142.4242424	-163.2816793
143.4343434	-161.8991863
144.4444444	-160.2567674
145.4545455	-158.3544225
146.4646465	-156.1921516
147.4747475	-153.7699548
148.4848485	-151.0878319
149.4949495	-148.1457831
150.5050505	-144.9438083
151.5151515	-141.4819075
152.5252525	-137.7600808
153.5353535	-133.778328
154.5454545	-129.5366493
155.5555556	-125.0350446
156.5656566	-120.2735139
157.5757576	-115.2520572
158.5858586	-109.9706746
159.5959596	-104.429366
160.6060606	-98.62813136
161.6161616	-92.56697078
162.6262626	-86.24588421
163.6363636	-79.66487167
164.6464646	-72.82393314
165.6565657	-65.72306863
166.6666667	-58.36227815
167.6767677	-60.46426701
168.6868687	-62.27008458
169.6969697	-63.77973086
170.7070707	-64.99320585
171.7171717	-65.91050954
172.7272727	-66.53164194
173.7373737	-66.85660304
174.7474747	-66.88539285
175.7575758	-66.61801137
176.7676768	-66.05445859
177.7777778	-65.19473452
178.7878788	-64.03883916
179.7979798	-62.5867725
180.8080808	-60.83853455
181.8181818	-58.7941253
182.8282828	-56.45354476
183.8383838	-53.81679293
184.8484848	-50.88386981
185.8585859	-47.65477539
186.8686869	-44.12950968
187.8787879	-40.30807267
188.8888889	-36.19046437
189.8989899	-31.77668478
190.9090909	-27.06673389
191.9191919	-22.06061171
192.9292929	-16.75831823
193.9393939	-11.15985347
194.9494949	-5.265217404
195.959596	0.9255899513
196.969697	7.4125686
197.979798	14.19571854
198.989899	21.27503978
200	28.65053231
