r	sigma
100	-210.047841
101.010101	-216.4999678
102.020202	-222.5428442
103.030303	-228.1764704
104.040404	-233.4008462
105.0505051	-238.2159717
106.0606061	-242.6218468
107.0707071	-246.6184716
108.0808081	-250.2058461
109.0909091	-253.3839702
110.1010101	-256.152844
111.1111111	-258.5124675
112.1212121	-260.4628406
113.1313131	-262.0039634
114.1414141	-263.1358359
115.1515152	-263.858458
116.1616162	-264.1718298
117.1717172	-264.0759513
118.1818182	-263.5708224
119.1919192	-262.6564432
120.2020202	-261.3328137
121.2121212	-259.5999338
122.2222222	-257.4578036
123.2323232	-254.9064231
124.2424242	-251.9457922
125.2525253	-248.575911
126.2626263	-244.7967794
127.2727273	-240.6083976
128.2828283	-236.0107654
129.2929293	-231.0038828
130.3030303	-225.5877499
131.3131313	-219.7623667
132.3232323	-213.5277332
133.3333333	-206.8838493
134.3434343	-200.1165214
135.3535354	-193.5115558
136.3636364	-187.0689525
137.3737374	-180.7887114
138.3838384	-174.6708326
139.3939394	-168.7153162
140.4040404	-162.922162
141.4141414	-157.2913701
142.4242424	-151.8229404
143.4343434	-146.5168731
144.4444444	-141.3731681
145.4545455	-136.3918253
146.4646465	-131.5728448
147.4747475	-126.9162266
148.4848485	-122.4219707
149.4949495	-118.0900771
150.5050505	-113.9205457
151.5151515	-109.9133767
152.5252525	-106.0685699
153.5353535	-102.3861254
154.5454545	-98.86604325
155.5555556	-95.50832334
156.5656566	-92.31296571
157.5757576	-89.27997037
158.5858586	-86.40933731
159.5959596	-83.70106654
160.6060606	-81.15515806
161.6161616	-78.77161186
162.6262626	-76.55042794
163.6363636	-74.49160631
164.6464646	-72.59514697
165.6565657	-70.86104991
166.6666667	-69.28931514
167.6767677	-67.75234881
168.6868687	-66.1225571
169.6969697	-64.39994
170.7070707	-62.5844975
171.7171717	-60.67622962
172.7272727	-58.67513635
173.7373737	-56.58121769
174.7474747	-54.39447363
175.7575758	-52.11490419
176.7676768	-49.74250936
177.7777778	-47.27728914
178.7878788	-44.71924354
179.7979798	-42.06837254
180.8080808	-39.32467615
181.8181818	-36.48815437
182.8282828	-33.5588072
183.8383838	-30.53663465
184.8484848	-27.4216367
185.8585859	-24.21381337
186.8686869	-20.91316464
187.8787879	-17.51969053
188.8888889	-14.03339102
189.8989899	-10.45426613
190.9090909	-6.782315846
191.9191919	-3.017540173
192.9292929	0.8400608884
193.9393939	4.79048734
194.9494949	8.833739181
195.959596	12.96981641
196.969697	17.19871903
197.979798	21.52044704
198.989899	25.93500044
200	30.44237923
