r	sigma
100	-18.44356897
101.010101	-22.28135713
102.020202	-25.80518712
103.030303	-29.01505895
104.040404	-31.91097262
105.0505051	-34.49292813
106.0606061	-36.76092547
107.0707071	-38.71496466
108.0808081	-40.35504568
109.0909091	-41.68116855
110.1010101	-42.69333325
111.1111111	-43.39153979
112.1212121	-43.77578817
113.1313131	-43.84607839
114.1414141	-43.60241044
115.1515152	-43.04478434
116.1616162	-42.17320007
117.1717172	-40.98765764
118.1818182	-39.48815705
119.1919192	-37.6746983
120.2020202	-35.54728139
121.2121212	-33.10590632
122.2222222	-30.35057309
123.2323232	-27.28128169
124.2424242	-23.89803213
125.2525253	-20.20082441
126.2626263	-16.18965854
127.2727273	-11.86453449
128.2828283	-7.225452292
129.2929293	-2.272411929
130.3030303	2.994586596
131.3131313	8.575543282
132.3232323	14.47045813
133.3333333	20.67933114
134.3434343	26.98284089
135.3535354	33.16166598
136.3636364	39.21580639
137.3737374	45.14526213
138.3838384	50.95003321
139.3939394	56.63011961
140.4040404	62.18552134
141.4141414	67.61623841
142.4242424	72.9222708
143.4343434	78.10361852
144.4444444	83.16028157
145.4545455	88.09225995
146.4646465	92.89955367
147.4747475	97.58216271
148.4848485	102.1400871
149.4949495	106.5733268
150.5050505	110.8818818
151.5151515	115.0657522
152.5252525	119.1249379
153.5353535	123.0594389
154.5454545	126.8692552
155.5555556	130.5543869
156.5656566	134.1148339
157.5757576	137.5505963
158.5858586	140.8616739
159.5959596	144.0480669
160.6060606	147.1097753
161.6161616	150.0467989
162.6262626	152.8591379
163.6363636	155.5467922
164.6464646	158.1097619
165.6565657	160.5480468
166.6666667	162.8616471
167.6767677	165.0602936
168.6868687	167.1537172
169.6969697	169.1419178
170.7070707	171.0248955
171.7171717	172.8026502
172.7272727	174.475182
173.7373737	176.0424908
174.7474747	177.5045767
175.7575758	178.8614396
176.7676768	180.1130796
177.7777778	181.2594967
178.7878788	182.3006908
179.7979798	183.2366619
180.8080808	184.0674101
181.8181818	184.7929354
182.8282828	185.4132377
183.8383838	185.9283171
184.8484848	186.3381735
185.8585859	186.642807
186.8686869	186.8422176
187.8787879	186.9364052
188.8888889	186.9253698
189.8989899	186.8091115
190.9090909	186.5876303
191.9191919	186.2609261
192.9292929	185.828999
193.9393939	185.2918489
194.9494949	184.6494759
195.959596	183.9018799
196.969697	183.049061
197.979798	182.0910191
198.989899	181.0277543
200	179.8592666
