r	sigma
100	29.53195998
101.010101	17.1075754
102.020202	5.569967982
103.030303	-5.080862271
104.040404	-14.84491536
105.0505051	-23.72219128
106.0606061	-31.71269004
107.0707071	-38.81641163
108.0808081	-45.03335606
109.0909091	-50.36352332
110.1010101	-54.80691341
111.1111111	-58.36352634
112.1212121	-61.03336211
113.1313131	-62.81642071
114.1414141	-63.71270214
115.1515152	-63.72220641
116.1616162	-62.84493351
117.1717172	-61.08088345
118.1818182	-58.43005622
119.1919192	-54.89245183
120.2020202	-50.46807027
121.2121212	-45.15691155
122.2222222	-38.95897566
123.2323232	-31.87426261
124.2424242	-23.90277239
125.2525253	-15.044505
126.2626263	-5.29946045
127.2727273	5.332361265
128.2828283	16.85096015
129.2929293	29.25633619
130.3030303	42.5484894
131.3131313	56.72741978
132.3232323	71.79312732
133.3333333	87.74561203
134.3434343	86.43110476
135.3535354	85.364757
136.3636364	84.54656875
137.3737374	83.97654
138.3838384	83.65467077
139.3939394	83.58096104
140.4040404	83.75541081
141.4141414	84.1780201
142.4242424	84.84878889
143.4343434	85.7677172
144.4444444	86.93480501
145.4545455	88.35005232
146.4646465	90.01345915
147.4747475	91.92502548
148.4848485	94.08475132
149.4949495	96.49263667
150.5050505	99.14868153
151.5151515	102.0528859
152.5252525	105.2052498
153.5353535	108.6057731
154.5454545	112.254456
155.5555556	116.1512984
156.5656566	120.2963003
157.5757576	124.6894617
158.5858586	129.3307827
159.5959596	134.2202631
160.6060606	139.357903
161.6161616	144.7437025
162.6262626	150.3776614
163.6363636	156.2597799
164.6464646	162.3900578
165.6565657	168.7684953
166.6666667	175.3950923
167.6767677	176.0491005
168.6868687	176.6706382
169.6969697	177.2597052
170.7070707	177.8163016
171.7171717	178.3404275
172.7272727	178.8320827
173.7373737	179.2912674
174.7474747	179.7179815
175.7575758	180.112225
176.7676768	180.4739979
177.7777778	180.8033001
178.7878788	181.1001318
179.7979798	181.364493
180.8080808	181.5963835
181.8181818	181.7958034
182.8282828	181.9627527
183.8383838	182.0972315
184.8484848	182.1992396
185.8585859	182.2687772
186.8686869	182.3058441
187.8787879	182.3104405
188.8888889	182.2825663
189.8989899	182.2222214
190.9090909	182.129406
191.9191919	182.00412
192.9292929	181.8463634
193.9393939	181.6561362
194.9494949	181.4334384
195.959596	181.1782701
196.969697	180.8906311
197.979798	180.5705215
198.989899	180.2179414
200	179.8328906
