r	sigma
100	28.95372249
101.010101	22.55831082
102.020202	16.5659127
103.030303	10.97652813
104.040404	5.790157124
105.0505051	1.006799669
106.0606061	-3.373544231
107.0707071	-7.350874576
108.0808081	-10.92519137
109.0909091	-14.0964946
110.1010101	-16.86478428
111.1111111	-19.23006041
112.1212121	-21.19232298
113.1313131	-22.751572
114.1414141	-23.90780746
115.1515152	-24.66102937
116.1616162	-25.01123773
117.1717172	-24.95843252
118.1818182	-24.50261377
119.1919192	-23.64378146
120.2020202	-22.38193559
121.2121212	-20.71707617
122.2222222	-18.6492032
123.2323232	-16.17831667
124.2424242	-13.30441659
125.2525253	-10.02750295
126.2626263	-6.347575753
127.2727273	-2.264635006
128.2828283	2.221319297
129.2929293	7.110287154
130.3030303	12.40226857
131.3131313	18.09726353
132.3232323	24.19527205
133.3333333	30.69629413
134.3434343	37.33263252
135.3535354	43.83658997
136.3636364	50.2081665
137.3737374	56.44736209
138.3838384	62.55417674
139.3939394	68.52861047
140.4040404	74.37066326
141.4141414	80.08033512
142.4242424	85.65762605
143.4343434	91.10253605
144.4444444	96.41506511
145.4545455	101.5952132
146.4646465	106.6429804
147.4747475	111.5583667
148.4848485	116.341372
149.4949495	120.9919965
150.5050505	125.5102399
151.5151515	129.8961025
152.5252525	134.1495841
153.5353535	138.2706847
154.5454545	142.2594045
155.5555556	146.1157433
156.5656566	149.8397012
157.5757576	153.4312781
158.5858586	156.8904741
159.5959596	160.2172892
160.6060606	163.4117234
161.6161616	166.4737766
162.6262626	169.4034489
163.6363636	172.2007402
164.6464646	174.8656506
165.6565657	177.3981801
166.6666667	179.7983287
167.6767677	182.0606579
168.6868687	184.1797296
169.6969697	186.1555435
170.7070707	187.9880999
171.7171717	189.6773986
172.7272727	191.2234396
173.7373737	192.626223
174.7474747	193.8857488
175.7575758	195.0020169
176.7676768	195.9750274
177.7777778	196.8047802
178.7878788	197.4912754
179.7979798	198.034513
180.8080808	198.4344929
181.8181818	198.6912152
182.8282828	198.8046798
183.8383838	198.7748868
184.8484848	198.6018361
185.8585859	198.2855278
186.8686869	197.8259618
187.8787879	197.2231383
188.8888889	196.477057
189.8989899	195.5877181
190.9090909	194.5551216
191.9191919	193.3792675
192.9292929	192.0601557
193.9393939	190.5977862
194.9494949	188.9921591
195.959596	187.2432744
196.969697	185.351132
197.979798	183.315732
198.989899	181.1370743
200	178.815159
