r	hill	L2	QI	QI_ref
100	-140	-131.1422373	-129.9724694	-130.9443848
101.010101	-135.24784	-126.9060454	-125.9142581	-127.2792771
102.020202	-130.682024	-122.7789636	-121.9351097	-123.4992008
103.030303	-126.293507	-118.760992	-118.0350243	-119.6041559
104.040404	-122.0737659	-114.8521306	-114.2140019	-115.5941423
105.0505051	-118.0147645	-111.0523794	-110.4720424	-111.4691601
106.0606061	-114.1089213	-107.3617383	-106.8091459	-107.2292093
107.0707071	-110.3490801	-103.7818517	-103.2293359	-103.498112
108.0808081	-106.7284822	-100.3279298	-99.76983012	-100.6085817
109.0909091	-103.2407407	-97.00367233	-96.43968141	-97.63380032
110.1010101	-99.87981736	-93.80907928	-93.23888981	-94.57376779
111.1111111	-96.64	-90.74415067	-90.16745532	-91.42848415
112.1212121	-93.51588257	-87.80888649	-87.22537794	-88.19794939
113.1313131	-90.50234603	-85.00328674	-84.41265767	-84.88216352
114.1414141	-87.59454071	-82.31090145	-81.71464426	-82.39647745
115.1515152	-84.78786995	-79.69780257	-79.10112155	-80.07383832
116.1616162	-82.07797485	-77.16296196	-76.57117391	-77.68757066
117.1717172	-79.46072	-74.70637964	-74.12480133	-75.23767447
118.1818182	-76.93218025	-72.3280556	-71.76200382	-72.72414976
119.1919192	-74.48862834	-70.02798983	-69.48278138	-70.14699651
120.2020202	-72.12652337	-67.80595746	-67.28673862	-67.67787266
121.2121212	-69.8425	-65.65453693	-65.16082815	-65.84102321
122.2222222	-67.63335838	-63.57012993	-63.09872393	-63.95599726
123.2323232	-65.49605474	-61.55273647	-61.10042597	-62.0227948
124.2424242	-63.42769258	-59.60235653	-59.16593426	-60.04141584
125.2525253	-61.42551442	-57.71899013	-57.29524881	-58.01186037
126.2626263	-59.48689408	-55.90263726	-55.48836963	-55.9341284
127.2727273	-57.60932945	-54.14992072	-53.74262262	-54.20173501
128.2828283	-55.79043568	-52.44695644	-52.04701435	-52.69243876
129.2929293	-54.02793884	-50.79224346	-50.40035636	-51.14612879
130.3030303	-52.31966997	-49.18578177	-48.80264863	-49.56280513
131.3131313	-50.6635594	-47.62757137	-47.25389118	-47.94246775
132.3232323	-49.05763156	-46.11761226	-45.75408399	-46.28511667
133.3333333	-47.5	-44.65590444	-44.30322707	-44.59075189
134.3434343	-45.98886271	-43.23779255	-42.89593319	-43.36836343
135.3535354	-44.52249778	-41.85862123	-41.52681512	-42.11716008
136.3636364	-43.09925926	-40.51839047	-40.19587287	-40.83714183
137.3737374	-41.71757327	-39.21710028	-38.90310642	-39.52830868
138.3838384	-40.37593438	-37.95475065	-37.64851579	-38.19066064
139.3939394	-39.07290211	-36.7313416	-36.43210096	-36.8241977
140.4040404	-37.80709773	-35.54616795	-35.25321576	-35.58757304
141.4141414	-36.57720117	-34.39270699	-34.10588298	-34.56438929
142.4242424	-35.38194812	-33.26937212	-32.98864871	-33.51849931
143.4343434	-34.22012735	-32.17616333	-31.90151293	-32.4499031
144.4444444	-33.09057806	-31.11308064	-30.84447565	-31.35860066
145.4545455	-31.9921875	-30.08012403	-29.81753688	-30.24459199
146.4646465	-30.92388864	-29.07729351	-28.82069661	-29.10787709
147.4747475	-29.884658	-28.10270808	-27.85200264	-28.20059606
148.4848485	-28.87351359	-27.15248819	-26.90742857	-27.33779785
149.4949495	-27.88951296	-26.22651628	-25.98685239	-26.456909
150.5050505	-26.93175137	-25.32479235	-25.0902741	-25.5579295
151.5151515	-25.99936	-24.44731641	-24.21769369	-24.64085936
152.5252525	-25.09150435	-23.59408844	-23.36911117	-23.70569857
153.5353535	-24.20738264	-22.76501167	-22.54443303	-22.80269666
154.5454545	-23.3462243	-21.95689248	-21.74057361	-22.08472072
155.5555556	-22.50728863	-21.16818244	-20.9560368	-21.35218493
156.5656566	-21.68986338	-20.39888154	-20.19082263	-20.6050893
157.5757576	-20.89326354	-19.64898979	-19.44493108	-19.84343382
158.5858586	-20.1168301	-18.91850719	-18.71836216	-19.0672185
159.5959596	-19.35992893	-18.20743373	-18.01111587	-18.27644334
160.6060606	-18.62194966	-17.51512516	-17.32254038	-17.59331365
161.6161616	-17.90230469	-16.83893283	-16.64995596	-16.97927963
162.6262626	-17.20042815	-16.1785704	-15.99307291	-16.35341737
163.6363636	-16.51577503	-15.53403787	-15.35189123	-15.71572689
164.6464646	-15.84782025	-14.90533524	-14.72641093	-15.06620817
165.6565657	-15.19605781	-14.29246252	-14.11663199	-14.40486123
166.6666667	-14.56	-13.6954197	-13.52255443	-13.73168605
167.6767677	-13.93917665	-13.11274241	-12.94276159	-13.21323329
168.6868687	-13.33313437	-12.5429663	-12.37583683	-12.68508723
169.6969697	-12.74143586	-11.98609135	-11.82178013	-12.14724788
170.7070707	-12.16365926	-11.44211757	-11.28059151	-11.59971522
171.7171717	-11.59939752	-10.91104495	-10.75227097	-11.04248927
172.7272727	-11.04825776	-10.39287351	-10.23681849	-10.47557002
173.7373737	-10.50986077	-9.887433234	-9.734054721	-9.953545487
174.7474747	-9.983840368	-9.393151641	-9.24232053	-9.504888201
175.7575758	-9.469842962	-8.909646232	-8.761212344	-9.048221231
176.7676768	-8.967526997	-8.436917007	-8.290730162	-8.583544578
177.7777778	-8.4765625	-7.974963966	-7.830873986	-8.110858242
178.7878788	-7.996630619	-7.523787109	-7.381643814	-7.630162222
179.7979798	-7.527423192	-7.083386436	-6.943039647	-7.141456519
180.8080808	-7.068642324	-6.653097661	-6.51449418	-6.735440198
181.8181818	-6.62	-6.231550691	-6.094837346	-6.345293873
182.8282828	-6.181217696	-5.818704009	-5.684033689	-5.948476657
