r	hill	L2	QI	QI_C0
100	-328.68	-326.1194209	-316.8903709	-328.5303979
101.010101	-323.8558388	-322.6554211	-314.7138439	-328.7777973
102.020202	-319.07968	-318.9337496	-312.068369	-327.2480557
103.030303	-314.3505777	-314.9544064	-308.9539465	-323.9411731
104.040404	-309.6676137	-310.7173915	-305.3705761	-318.8571496
105.0505051	-305.0298965	-306.2227048	-301.3182581	-311.9959851
106.0606061	-300.43656	-301.4703464	-296.7969923	-303.3576797
107.0707071	-295.8867629	-296.4926468	-291.8554742	-297.2257243
108.0808081	-291.3796875	-291.5886627	-286.9441374	-296.0592308
109.0909091	-286.914539	-286.8311378	-282.1725467	-293.5689767
110.1010101	-282.4905446	-282.2200721	-277.5407021	-289.7549621
111.1111111	-278.1069525	-277.7554655	-273.0486037	-284.617187
112.1212121	-273.7630314	-273.4373181	-268.6962514	-278.1556513
113.1313131	-269.4580698	-269.2656298	-264.4836452	-270.3703552
114.1414141	-265.1913751	-265.1911758	-260.375158	-267.6676715
115.1515152	-260.9622728	-261.11243	-256.2973089	-265.5393299
116.1616162	-256.7701064	-257.0263157	-252.247871	-262.4166826
117.1717172	-252.6142363	-252.9328331	-248.2268445	-258.2997296
118.1818182	-248.4940394	-248.831982	-244.2342293	-253.1884709
119.1919192	-244.4089083	-244.7237624	-240.2700253	-247.0829065
120.2020202	-240.3582514	-240.6093536	-236.3342956	-241.1790084
121.2121212	-236.3414915	-236.5276676	-232.4291151	-239.2154891
122.2222222	-232.3580662	-232.497571	-228.5554897	-236.5089917
123.2323232	-228.4074266	-228.5190636	-224.7134196	-233.0595161
124.2424242	-224.4890375	-224.5921456	-220.9029046	-228.8670625
125.2525253	-220.6023766	-220.7168168	-217.1239448	-223.9316308
126.2626263	-216.7469342	-216.8930774	-213.3765402	-218.253221
127.2727273	-212.9222127	-213.1152659	-209.6596253	-214.5681964
128.2828283	-209.1277266	-209.3601076	-205.9688193	-212.1069664
129.2929293	-205.3630014	-205.6250864	-202.3036487	-209.0809216
130.3030303	-201.627574	-201.9102023	-198.6641134	-205.4900621
131.3131313	-197.9209918	-198.2154553	-195.0502134	-201.3343877
132.3232323	-194.2428129	-194.5408454	-191.4619489	-196.6138985
133.3333333	-190.5926052	-190.8863726	-187.8993196	-191.3285945
134.3434343	-186.9699465	-187.2572078	-184.3613369	-189.0168546
135.3535354	-183.3744241	-183.6585222	-180.8470117	-186.2701868
136.3636364	-179.8056344	-180.0903158	-177.3563442	-183.088591
137.3737374	-176.2631829	-176.5525885	-173.8893342	-179.4720673
138.3838384	-172.7466837	-173.0453404	-170.4459818	-175.4206157
139.3939394	-169.2557592	-169.5685715	-167.026287	-170.9342361
140.4040404	-165.7900402	-166.1213329	-163.6300485	-167.1060216
141.4141414	-162.3491652	-162.6948485	-160.2554048	-164.5491421
142.4242424	-158.9327807	-159.2869836	-156.9019029	-161.652511
143.4343434	-155.5405404	-155.8977382	-153.569543	-158.4161282
144.4444444	-152.1721055	-152.5271123	-150.2583249	-154.8399938
145.4545455	-148.8271443	-149.1751058	-146.9682487	-150.9241077
146.4646465	-145.5053317	-145.8417189	-143.6993144	-146.6684699
147.4747475	-142.2063496	-142.5301409	-140.4512055	-143.8165242
148.4848485	-138.9298864	-139.2469503	-137.2232694	-141.1244933
149.4949495	-135.6756367	-135.9923463	-134.0154863	-138.1636059
150.5050505	-132.4433012	-132.766329	-130.8278562	-134.933862
151.5151515	-129.2325869	-129.5688984	-127.6603791	-131.4352616
152.5252525	-126.0432064	-126.4000545	-124.513055	-127.6678047
153.5353535	-122.8748781	-123.259324	-121.3858093	-123.9793066
154.5454545	-119.7273258	-120.1310882	-118.2761811	-121.445571
155.5555556	-116.6002789	-117.0077746	-115.182977	-118.6969084
156.5656566	-113.4934719	-113.8893831	-112.1061972	-115.7333186
157.5757576	-110.4066446	-110.7759137	-109.0458415	-112.5548018
158.5858586	-107.3395415	-107.6673665	-106.0019101	-109.1613579
159.5959596	-104.2919122	-104.5637414	-102.9744028	-105.5529868
160.6060606	-101.263511	-101.4726121	-99.96463206	-102.5701053
161.6161616	-98.25409675	-98.42511428	-96.97799266	-99.96574226
162.6262626	-95.26343287	-95.42461406	-94.01506784	-97.18791207
163.6363636	-92.29128715	-92.47111144	-91.07585762	-94.23661472
164.6464646	-89.33743168	-89.56460641	-88.160362	-91.1118502
165.6565657	-86.40164271	-86.70509897	-85.26858097	-87.81361851
166.6666667	-83.48370059	-83.89258912	-82.40051453	-84.34191966
167.6767677	-80.58338965	-81.0852897	-79.53710145	-81.92144687
168.6868687	-77.7004981	-78.24141354	-76.65928049	-79.36069732
169.6969697	-74.83481795	-75.36096063	-73.76705166	-76.65967102
170.7070707	-71.9861449	-72.44393098	-70.86041496	-73.81836796
171.7171717	-69.15427828	-69.49032459	-67.93937038	-70.83678815
172.7272727	-66.33902094	-66.50014145	-65.00391793	-67.71493157
173.7373737	-63.54017919	-63.48422491	-62.06346623	-64.75190323
174.7474747	-60.75756271	-60.54287578	-59.20504513	-62.10673791
175.7575758	-57.99098444	-57.70049158	-56.44982404	-59.33484196
176.7676768	-55.24026058	-54.95707229	-53.79780296	-56.4362154
177.7777778	-52.50521045	-52.31261792	-51.24898189	-53.41085821
178.7878788	-49.78565643	-49.76712847	-48.80336084	-50.2587704
179.7979798	-47.08142392	-47.32060395	-46.46093979	-46.97995197
180.8080808	-44.39234126	-44.91441733	-44.15073402	-45.31776731
181.8181818	-41.71823964	-42.42765043	-41.72633748	-43.6450488
182.8282828	-39.05895306	-39.85663905	-39.18331362	-41.49043929
183.8383838	-36.41431827	-37.2013832	-36.52166245	-38.85393879
184.8484848	-33.7841747	-34.46188288	-33.74138396	-35.7355473
185.8585859	-31.18221897	-31.63813808	-30.84247816	-32.13526482
186.8686869	-28.63543542	-28.73522604	-27.83101612	-28.46810968
187.8787879	-26.1431272	-25.92069536	-24.90734347	-26.27063348
188.8888889	-23.70384556	-23.27578175	-22.16859747	-24.07709395
189.8989899	-21.31618771	-20.80048519	-19.61477812	-21.88749109
190.9090909	-18.97879516	-18.49480569	-17.24588542	-19.7018249
191.9191919	-16.69035212	-16.35874326	-15.06191937	-17.52009538
192.9292929	-14.44958388	-14.39229788	-13.06287997	-15.34230253
193.9393939	-12.25525538	-12.54538328	-11.20502374	-13.23522407
194.9494949	-10.10616976	-10.6120892	-9.308516318	-11.14740915
195.959596	-8.001166975	-8.570155075	-7.353916156	-9.027041381
196.969697	-5.939122485	-6.419580905	-5.341223253	-6.874120775
197.979798	-3.91894601	-4.16036669	-3.270437611	-4.688647328
198.989899	-1.939580305	-1.792512429	-1.141559229	-2.470621039
200	-0	0.6839818776	1.045411894	-0.2200419075
