r	sigma
100	-175.4866813
100.5025126	-175.0540584
101.0050251	-174.5701239
101.5075377	-173.8788336
102.0100503	-173.1400214
102.5125628	-172.3652112
103.0150754	-171.5558822
103.5175879	-170.7134803
104.0201005	-169.8394185
104.5226131	-168.9350782
105.0251256	-168.0018101
105.5276382	-167.0409354
106.0301508	-166.0537462
106.5326633	-165.0415069
107.0351759	-164.0054549
107.5376884	-162.9468012
108.040201	-161.8667314
108.5427136	-160.7664064
109.0452261	-159.6469634
109.5477387	-158.5095158
110.0502513	-157.3551551
110.5527638	-156.1849503
111.0552764	-154.9999495
111.5577889	-153.80118
112.0603015	-152.5896492
112.5628141	-151.3663449
113.0653266	-150.132236
113.5678392	-148.8882731
114.0703518	-147.635389
114.5728643	-146.3744992
115.0753769	-145.1065021
115.5778894	-143.8322802
116.080402	-142.5526997
116.5829146	-141.2686119
117.0854271	-139.9808526
117.5879397	-138.6902434
118.0904523	-137.3975917
118.5929648	-136.1036913
119.0954774	-134.8093225
119.5979899	-133.5152528
120.1005025	-132.2222372
120.6030151	-130.9310184
121.1055276	-129.6423275
121.6080402	-128.356884
122.1105528	-127.0753963
122.6130653	-125.798562
123.1155779	-124.5270682
123.6180905	-123.261592
124.120603	-121.9380835
124.6231156	-120.6206326
125.1256281	-119.3145365
125.6281407	-118.0208662
126.1306533	-116.7406859
126.6331658	-115.4750536
127.1356784	-114.2250209
127.638191	-112.9916334
128.1407035	-111.7759306
128.6432161	-110.5789462
129.1457286	-109.401708
129.6482412	-108.2452381
130.1507538	-107.1105532
130.6532663	-105.9986644
131.1557789	-104.9105775
131.6582915	-103.8472931
132.160804	-102.8098065
132.6633166	-101.7991081
133.1658291	-100.8161833
133.6683417	-99.85552019
134.1708543	-98.89662303
134.6733668	-97.93805379
135.1758794	-96.97997877
135.678392	-96.02256043
136.1809045	-95.04611248
136.6834171	-94.01741833
137.1859296	-92.98890734
137.6884422	-91.96104394
138.1909548	-90.93428633
138.6934673	-89.90908654
139.1959799	-88.88589056
139.6984925	-87.86513836
140.201005	-86.84726402
140.7035176	-85.83269578
141.2060302	-84.82185614
141.7085427	-83.8151619
142.2110553	-82.81302428
142.7135678	-81.81584898
143.2160804	-80.82403623
143.718593	-79.83798091
144.2211055	-78.85807261
144.7236181	-77.8846957
145.2261307	-76.91822941
145.7286432	-75.95904792
146.2311558	-75.0075204
146.7336683	-74.06401114
147.2361809	-73.12887962
147.7386935	-72.20248052
148.241206	-71.28516392
148.7437186	-70.37727527
149.2462312	-69.47915552
149.7487437	-68.59114124
150.2512563	-67.71356462
150.7537688	-66.84675361
151.2562814	-65.99103202
151.758794	-65.14671955
152.2613065	-64.31413193
152.7638191	-63.49358098
153.2663317	-62.68537471
153.7688442	-61.88981743
154.2713568	-61.10720981
154.7738693	-60.337849
155.2763819	-59.58202872
155.7788945	-58.84003934
156.281407	-58.11216802
156.7839196	-57.39869879
157.2864322	-56.69991264
157.7889447	-56.01608767
158.2914573	-55.34749914
158.7939698	-54.69441962
159.2964824	-54.01529506
159.798995	-53.21979469
160.3015075	-52.4293674
160.8040201	-51.6440492
161.3065327	-50.8638745
161.8090452	-50.08887611
162.3115578	-49.3190853
162.8140704	-48.5545318
163.3165829	-47.79524382
163.8190955	-47.0412481
164.321608	-46.2925699
164.8241206	-45.54923305
165.3266332	-44.81125994
165.8291457	-44.07867159
166.3316583	-43.35148761
166.8341709	-42.62857936
167.3366834	-41.89531494
167.839196	-41.14793863
168.3417085	-40.38734668
168.8442211	-39.61443441
169.3467337	-38.83009619
169.8492462	-38.03522547
170.3517588	-37.23071477
170.8542714	-36.41745574
171.3567839	-35.59633913
171.8592965	-34.7682548
172.361809	-33.93409178
172.8643216	-33.09473823
173.3668342	-32.25108148
173.8693467	-31.40400805
174.3718593	-30.55440364
174.8743719	-29.70315314
175.3768844	-28.85114066
175.879397	-27.99924954
176.3819095	-27.14836233
176.8844221	-26.29936087
177.3869347	-25.4531262
177.8894472	-24.61053867
178.3919598	-23.77247789
178.8944724	-22.93982275
179.3969849	-22.11345144
179.8994975	-21.29424147
180.4020101	-20.48306965
180.9045226	-19.68081213
181.4070352	-18.88834438
181.9095477	-18.10654121
182.4120603	-17.33627682
182.9145729	-16.57842472
183.4170854	-15.83385783
183.919598	-15.10344843
184.4221106	-14.38806819
184.9246231	-13.6885882
185.4271357	-13.00587891
185.9296482	-12.34081022
186.4321608	-11.69425144
186.9346734	-11.06707129
187.4371859	-10.46013796
187.9396985	-9.874319047
188.4422111	-9.310481625
188.9447236	-8.769492215
189.4472362	-8.252216804
189.9497487	-7.759520853
190.4522613	-7.292269302
190.9547739	-6.851326577
191.4572864	-6.437556595
191.959799	-6.051822775
192.4623116	-5.694988042
192.9648241	-5.36791483
193.4673367	-5.071465097
193.9698492	-4.806500321
194.4723618	-4.573881515
194.9748744	-4.374469227
195.4773869	-4.209123549
195.9798995	-4.078704122
196.4824121	-3.984070141
196.9849246	-3.926080362
197.4874372	-3.905593107
197.9899497	-3.92346627
198.4924623	-3.980557322
198.9949749	-4.077723315
199.4974874	-4.21582089
200	-4.395706279
