r	sigma
100	-183.4648583
100.5025126	-181.9846203
101.0050251	-180.5071518
101.5075377	-179.0341366
102.0100503	-177.5672252
102.5125628	-176.1080345
103.0150754	-174.6581497
103.5175879	-173.1955322
104.0201005	-171.7475264
104.5226131	-170.3174221
105.0251256	-168.9066742
105.5276382	-167.51672
106.0301508	-166.1489796
106.5326633	-164.8048563
107.0351759	-163.4857371
107.5376884	-162.1929931
108.040201	-160.9279794
108.5427136	-159.6877411
109.0452261	-158.4471054
109.5477387	-157.2030878
110.0502513	-155.9568544
110.5527638	-154.7095572
111.0552764	-153.4623348
111.5577889	-152.2162934
112.0603015	-150.9666417
112.5628141	-149.7213421
113.0653266	-148.4814437
113.5678392	-147.2479753
114.0703518	-146.0219462
114.5728643	-144.8043468
115.0753769	-143.5961484
115.5778894	-142.3983043
116.080402	-141.2117499
116.5829146	-140.0374033
117.0854271	-138.8743695
117.5879397	-137.711514
118.0904523	-136.5488188
118.5929648	-135.387115
119.0954774	-134.2272203
119.5979899	-133.0699395
120.1005025	-131.9160648
120.6030151	-130.7663761
121.1055276	-129.6216415
121.6080402	-128.4826171
122.1105528	-127.3500479
122.6130653	-126.2246676
123.1155779	-125.1071993
123.6180905	-123.9983553
124.120603	-122.8978199
124.6231156	-121.8069349
125.1256281	-120.7262095
125.6281407	-119.6440394
126.1306533	-118.5563963
126.6331658	-117.4638639
127.1356784	-116.3670197
127.638191	-115.2664355
128.1407035	-114.1626774
128.6432161	-113.0563057
129.1457286	-111.9478752
129.6482412	-110.8379353
130.1507538	-109.7270302
130.6532663	-108.6156987
131.1557789	-107.5044746
131.6582915	-106.3938865
132.160804	-105.2844584
132.6633166	-104.1767091
133.1658291	-103.071153
133.6683417	-101.9094442
134.1708543	-100.7396023
134.6733668	-99.59470851
135.1758794	-98.47473714
135.678392	-97.37965894
136.1809045	-96.30944098
136.6834171	-95.26404684
137.1859296	-94.24343658
137.6884422	-93.24756688
138.1909548	-92.27639105
138.6934673	-91.32985915
139.1959799	-90.40791795
139.6984925	-89.51051111
140.201005	-88.63757914
140.7035176	-87.7890595
141.2060302	-86.96488664
141.7085427	-86.16040706
142.2110553	-85.30707942
142.7135678	-84.43630248
143.2160804	-83.5482547
143.718593	-82.6431118
144.2211055	-81.72104681
144.7236181	-80.7822301
145.2261307	-79.82682943
145.7286432	-78.85501
146.2311558	-77.86693449
146.7336683	-76.86276311
147.2361809	-75.84265362
147.7386935	-74.80676141
148.241206	-73.75523949
148.7437186	-72.6882386
149.2462312	-71.60590716
149.7487437	-70.50839139
150.2512563	-69.40543064
150.7537688	-68.3209825
151.2562814	-67.2536787
151.758794	-66.20383525
152.2613065	-65.17176599
152.7638191	-64.15778255
153.2663317	-63.16219447
153.7688442	-62.18530918
154.2713568	-61.22743203
154.7738693	-60.28886637
155.2763819	-59.36991354
155.7788945	-58.47087292
156.281407	-57.59204195
156.7839196	-56.73371619
157.2864322	-55.89618932
157.7889447	-55.07975316
158.2914573	-54.28469775
158.7939698	-53.51131132
159.2964824	-52.75988037
159.798995	-52.03068966
160.3015075	-51.32402226
160.8040201	-50.64015954
161.3065327	-49.97938125
161.8090452	-49.34196551
162.3115578	-48.72818885
162.8140704	-48.13832621
163.3165829	-47.572651
163.8190955	-47.03143511
164.321608	-46.5149489
164.8241206	-46.02346128
165.3266332	-45.5572397
165.8291457	-45.11655017
166.3316583	-44.7016573
166.8341709	-44.04769167
167.3366834	-42.88670347
167.839196	-41.74748166
168.3417085	-40.630032
168.8442211	-39.53435918
169.3467337	-38.46046678
169.8492462	-37.40835735
170.3517588	-36.37803237
170.8542714	-35.3694923
171.3567839	-34.38273658
171.8592965	-33.41776365
172.361809	-32.47457096
172.8643216	-31.55315501
173.3668342	-30.6535113
173.8693467	-29.77563443
174.3718593	-28.91951803
174.8743719	-28.08515485
175.3768844	-27.2725367
175.879397	-26.48165453
176.3819095	-25.71249839
176.8844221	-24.96505748
177.3869347	-24.23932013
177.8894472	-23.53527384
178.3919598	-22.85290527
178.8944724	-22.19220028
179.3969849	-21.5531439
179.8994975	-20.93572038
180.4020101	-20.33991319
180.9045226	-19.76570501
181.4070352	-19.21307776
181.9095477	-18.68201263
182.4120603	-18.17249004
182.9145729	-17.68448968
183.4170854	-17.21761392
183.919598	-16.75464391
184.4221106	-16.28626518
184.9246231	-15.81249973
185.4271357	-15.33336929
185.9296482	-14.84889537
186.4321608	-14.35909926
186.9346734	-13.864002
187.4371859	-13.36362442
187.9396985	-12.8579871
188.4422111	-12.34711044
188.9447236	-11.83101459
189.4472362	-11.30971951
189.9497487	-10.78324492
190.4522613	-10.25161037
190.9547739	-9.714835157
191.4572864	-9.172938418
191.959799	-8.625939066
192.4623116	-8.073855823
192.9648241	-7.516707214
193.4673367	-6.954511573
193.9698492	-6.38728704
194.4723618	-5.815051572
194.9748744	-5.237822938
195.4773869	-4.655618725
195.9798995	-4.068456337
196.4824121	-3.476353003
196.9849246	-2.879325773
197.4874372	-2.277391527
197.9899497	-1.670566968
198.4924623	-1.058868635
198.9949749	-0.442312896
199.4974874	0.1790840447
200	0.8053061461
