r	sigma
100	-183.5893641
100.5025126	-182.1033752
101.0050251	-180.6206993
101.5075377	-179.1429022
102.0100503	-177.6715189
102.5125628	-176.205576
103.0150754	-174.7307126
103.5175879	-173.2697349
104.0201005	-171.8243112
104.5226131	-170.396093
105.0251256	-168.986715
105.5276382	-167.5977957
106.0301508	-166.2309379
106.5326633	-164.887729
107.0351759	-163.5697412
107.5376884	-162.278532
108.040201	-161.0156446
108.5427136	-159.771796
109.0452261	-158.5103201
109.5477387	-157.2471763
110.0502513	-155.9834731
110.5527638	-154.7202979
111.0552764	-153.458718
111.5577889	-152.1997806
112.0603015	-150.944514
112.5628141	-149.6939277
113.0653266	-148.4490133
113.5678392	-147.2107446
114.0703518	-145.9800782
114.5728643	-144.7579543
115.0753769	-143.5452969
115.5778894	-142.3430139
116.080402	-141.1519984
116.5829146	-139.9731282
117.0854271	-138.8025039
117.5879397	-137.632227
118.0904523	-136.4629714
118.5929648	-135.2934995
119.0954774	-134.1144939
119.5979899	-132.9383397
120.1005025	-131.7665062
120.6030151	-130.6004546
121.1055276	-129.4416384
121.6080402	-128.2915036
122.1105528	-127.1514888
122.6130653	-126.023025
123.1155779	-124.9075364
123.6180905	-123.80644
124.120603	-122.721146
124.6231156	-121.653058
125.1256281	-120.6026788
125.6281407	-119.5514662
126.1306533	-118.491841
126.6331658	-117.4174699
127.1356784	-116.3252453
127.638191	-115.2279333
128.1407035	-114.1261721
128.6432161	-113.0205901
129.1457286	-111.9118061
129.6482412	-110.8004289
130.1507538	-109.6870581
130.6532663	-108.5722841
131.1557789	-107.4566882
131.6582915	-106.3408428
132.160804	-105.2253116
132.6633166	-104.1098181
133.1658291	-102.9682535
133.6683417	-101.8263566
134.1708543	-100.6950917
134.6733668	-99.5762959
135.1758794	-98.47102313
135.678392	-97.38032337
136.1809045	-96.30524288
136.6834171	-95.24682421
137.1859296	-94.2061063
137.6884422	-93.18412455
138.1909548	-92.18191083
138.6934673	-91.20049361
139.1959799	-90.24089798
139.6984925	-89.30414573
140.201005	-88.3912554
140.7035176	-87.50324234
141.2060302	-86.64111876
141.7085427	-85.80572797
142.2110553	-84.97046696
142.7135678	-84.11591995
143.2160804	-83.24267705
143.718593	-82.35132554
144.2211055	-81.44244983
144.7236181	-80.51663162
145.2261307	-79.57444985
145.7286432	-78.61648079
146.2311558	-77.64329811
146.7336683	-76.65547287
147.2361809	-75.6535736
147.7386935	-74.63816635
148.241206	-73.6098147
148.7437186	-72.56907982
149.2462312	-71.51652052
149.7487437	-70.45269327
150.2512563	-69.38268838
150.7537688	-68.33370454
151.2562814	-67.30937103
151.758794	-66.3087155
152.2613065	-65.29285117
152.7638191	-64.28738112
153.2663317	-63.29949071
153.7688442	-62.32959749
154.2713568	-61.37810831
154.7738693	-60.44541935
155.2763819	-59.53191625
155.7788945	-58.63797413
156.281407	-57.76395782
156.7839196	-56.91022201
157.2864322	-56.07711147
157.7889447	-55.26496127
158.2914573	-54.47409708
158.7939698	-53.70483545
159.2964824	-52.95748409
159.798995	-52.23234227
160.3015075	-51.5297011
160.8040201	-50.84984394
161.3065327	-50.19304679
161.8090452	-49.55957867
162.3115578	-48.94970201
162.8140704	-48.29163369
163.3165829	-47.56272095
163.8190955	-46.83358434
164.321608	-46.10320743
164.8241206	-45.37057236
165.3266332	-44.63465987
165.8291457	-43.89444932
166.3316583	-43.14891869
166.8341709	-42.39601122
167.3366834	-41.62221525
167.839196	-40.82533192
168.3417085	-40.00753172
168.8442211	-39.17098393
169.3467337	-38.31785671
169.8492462	-37.45031706
170.3517588	-36.57053085
170.8542714	-35.68066285
171.3567839	-34.78287675
171.8592965	-33.87933515
172.361809	-32.97219959
172.8643216	-32.06363057
173.3668342	-31.15578756
173.8693467	-30.25082903
174.3718593	-29.35091243
174.8743719	-28.45819423
175.3768844	-27.57482993
175.879397	-26.70297408
176.3819095	-25.84478028
176.8844221	-25.00240119
177.3869347	-24.17798858
177.8894472	-23.37369329
178.3919598	-22.59166528
178.8944724	-21.83405363
179.3969849	-21.10300655
179.8994975	-20.4006714
180.4020101	-19.7291947
180.9045226	-19.09072214
181.4070352	-18.48739857
181.9095477	-17.92136805
182.4120603	-17.39477386
182.9145729	-16.90975845
183.4170854	-16.46786845
183.919598	-16.04317985
184.4221106	-15.62026353
184.9246231	-15.19821516
185.4271357	-14.77613028
185.9296482	-14.35310434
186.4321608	-13.92823269
186.9346734	-13.50061055
187.4371859	-13.06933307
187.9396985	-12.63349528
188.4422111	-12.19219211
188.9447236	-11.74451839
189.4472362	-11.28956886
189.9497487	-10.82643817
190.4522613	-10.35422086
190.9547739	-9.872011384
191.4572864	-9.378904101
191.959799	-8.873993283
192.4623116	-8.356373109
192.9648241	-7.825137673
193.4673367	-7.279380977
193.9698492	-6.71819694
194.4723618	-6.140679393
194.9748744	-5.545922086
195.4773869	-4.933018684
195.9798995	-4.30106277
196.4824121	-3.649147845
196.9849246	-2.976367334
197.4874372	-2.281814578
197.9899497	-1.564582844
198.4924623	-0.8237653206
198.9949749	-0.05845512016
199.4974874	0.7322547194
200	1.549271235
