r	hill
100	-182.4611984
100.5025126	-181.072082
101.0050251	-179.689894
101.5075377	-178.3145655
102.0100503	-176.9460287
102.5125628	-175.584217
103.0150754	-174.2290645
103.5175879	-172.8805065
104.0201005	-171.538479
104.5226131	-170.2029192
105.0251256	-168.8737649
105.5276382	-167.5509551
106.0301508	-166.2344295
106.5326633	-164.9241285
107.0351759	-163.6199938
107.5376884	-162.3219674
108.040201	-161.0299924
108.5427136	-159.7440127
109.0452261	-158.4639729
109.5477387	-157.1898183
110.0502513	-155.9214951
110.5527638	-154.6589502
111.0552764	-153.4021311
111.5577889	-152.1509862
112.0603015	-150.9054644
112.5628141	-149.6655155
113.0653266	-148.4310897
113.5678392	-147.2021381
114.0703518	-145.9786124
114.5728643	-144.7604648
115.0753769	-143.5476483
115.5778894	-142.3401164
116.080402	-141.1378233
116.5829146	-139.9407237
117.0854271	-138.7487729
117.5879397	-137.5619268
118.0904523	-136.380142
118.5929648	-135.2033753
119.0954774	-134.0315845
119.5979899	-132.8647275
120.1005025	-131.702763
120.6030151	-130.5456501
121.1055276	-129.3933485
121.6080402	-128.2458184
122.1105528	-127.1030204
122.6130653	-125.9649156
123.1155779	-124.8314656
123.6180905	-123.7026326
124.120603	-122.578379
124.6231156	-121.4586678
125.1256281	-120.3434626
125.6281407	-119.2327271
126.1306533	-118.1264257
126.6331658	-117.0245232
127.1356784	-115.9269846
127.638191	-114.8337756
128.1407035	-113.7448621
128.6432161	-112.6602105
129.1457286	-111.5797875
129.6482412	-110.5035604
130.1507538	-109.4314967
130.6532663	-108.3635643
131.1557789	-107.2997314
131.6582915	-106.2399667
132.160804	-105.1842392
132.6633166	-104.1325183
133.1658291	-103.0847736
133.6683417	-102.0409753
134.1708543	-101.0010937
134.6733668	-99.96509944
135.1758794	-98.93296369
135.678392	-97.90465776
136.1809045	-96.88015335
136.6834171	-95.85942243
137.1859296	-94.84243733
137.6884422	-93.82917065
138.1909548	-92.81959529
138.6934673	-91.81368446
139.1959799	-90.81141165
139.6984925	-89.81275065
140.201005	-88.81767551
140.7035176	-87.82616057
141.2060302	-86.83818045
141.7085427	-85.85371004
142.2110553	-84.87272449
142.7135678	-83.89519921
143.2160804	-82.92110988
143.718593	-81.95043243
144.2211055	-80.98314304
144.7236181	-80.01921814
145.2261307	-79.05863441
145.7286432	-78.10136876
146.2311558	-77.14739835
146.7336683	-76.19670058
147.2361809	-75.24925306
147.7386935	-74.30503365
148.241206	-73.36402042
148.7437186	-72.42619168
149.2462312	-71.49152594
149.7487437	-70.56000194
150.2512563	-69.63159863
150.7537688	-68.70629517
151.2562814	-67.78407092
151.758794	-66.86490547
152.2613065	-65.94877859
152.7638191	-65.03567026
153.2663317	-64.12556064
153.7688442	-63.21843011
154.2713568	-62.31425923
154.7738693	-61.41302875
155.2763819	-60.5147196
155.7788945	-59.61931291
156.281407	-58.72678998
156.7839196	-57.8371323
157.2864322	-56.95032153
157.7889447	-56.06633951
158.2914573	-55.18516825
158.7939698	-54.30678992
159.2964824	-53.43118689
159.798995	-52.55834167
160.3015075	-51.68823694
160.8040201	-50.82085554
161.3065327	-49.95618049
161.8090452	-49.09419494
162.3115578	-48.23488223
162.8140704	-47.37822581
163.3165829	-46.52420933
163.8190955	-45.67281656
164.321608	-44.82543513
164.8241206	-43.98561184
165.3266332	-43.15343487
165.8291457	-42.32881167
166.3316583	-41.51165111
166.8341709	-40.70186339
167.3366834	-39.89936011
167.839196	-39.10405414
168.3417085	-38.31585968
168.8442211	-37.53469219
169.3467337	-36.7604684
169.8492462	-35.99310624
170.3517588	-35.23252487
170.8542714	-34.47864465
171.3567839	-33.73138707
171.8592965	-32.99067479
172.361809	-32.2564316
172.8643216	-31.52858238
173.3668342	-30.80705311
173.8693467	-30.09177083
174.3718593	-29.38266363
174.8743719	-28.67966063
175.3768844	-27.98269198
175.879397	-27.29168881
176.3819095	-26.60658323
176.8844221	-25.92730832
177.3869347	-25.2537981
177.8894472	-24.58598754
178.3919598	-23.92381249
178.8944724	-23.26720972
179.3969849	-22.6161169
179.8994975	-21.97047253
180.4020101	-21.33021601
180.9045226	-20.69528754
181.4070352	-20.06562817
181.9095477	-19.44117977
182.4120603	-18.82188498
182.9145729	-18.20768726
183.4170854	-17.59853082
183.919598	-16.99436064
184.4221106	-16.39512245
184.9246231	-15.80076271
185.4271357	-15.21122862
185.9296482	-14.62646807
186.4321608	-14.04642966
186.9346734	-13.4710627
187.4371859	-12.90031714
187.9396985	-12.33414364
188.4422111	-11.77249348
188.9447236	-11.21531861
189.4472362	-10.66257161
189.9497487	-10.11420569
190.4522613	-9.57017466
190.9547739	-9.030432962
191.4572864	-8.494935619
191.959799	-7.963638245
192.4623116	-7.436497035
192.9648241	-6.91346875
193.4673367	-6.394510715
193.9698492	-5.879580806
194.4723618	-5.368637443
194.9748744	-4.861639579
195.4773869	-4.358546696
195.9798995	-3.859318795
196.4824121	-3.363916387
196.9849246	-2.872300486
197.4874372	-2.384432602
197.9899497	-1.900274731
198.4924623	-1.419789352
198.9949749	-0.9429394164
199.4974874	-0.4696883403
200	-0
