r	sigma
100	100.8089859
100.5025126	101.6116823
101.0050251	102.4450024
101.5075377	103.1544697
102.0100503	103.8921986
102.5125628	104.6663804
103.0150754	105.4755245
103.5175879	106.3181714
104.0201005	107.192892
104.5226131	108.0982868
105.0251256	109.0329855
105.5276382	109.9956457
106.0301508	110.9849527
106.5326633	111.9996186
107.0351759	113.0383817
107.5376884	114.1000056
108.040201	115.1832789
108.5427136	116.2870145
109.0452261	117.4100485
109.5477387	118.5512404
110.0502513	119.7094718
110.5527638	120.8836461
111.0552764	122.0726881
111.5577889	123.2755429
112.0603015	124.4911762
112.5628141	125.718573
113.0653266	126.9567374
113.5678392	128.2046921
114.0703518	129.461478
114.5728643	130.7261534
115.0753769	131.9977939
115.5778894	133.2754918
116.080402	134.5583555
116.5829146	135.8455095
117.0854271	137.1360934
117.5879397	138.429262
118.0904523	139.7241846
118.5929648	141.0200447
119.0954774	142.3160398
119.5979899	143.6113806
120.1005025	144.9052913
120.6030151	146.1970085
121.1055276	147.4857814
121.6080402	148.7708714
122.1105528	150.0515517
122.6130653	151.3271067
123.1155779	152.5968325
123.6180905	153.8600358
124.120603	155.0507018
124.6231156	156.231987
125.1256281	157.4079274
125.6281407	158.5783213
126.1306533	159.7429822
126.6331658	160.9017386
127.1356784	162.0544334
127.638191	163.2009241
128.1407035	164.341082
128.6432161	165.4747922
129.1457286	166.6019535
129.6482412	167.7224776
130.1507538	168.8362895
130.6532663	169.9433268
131.1557789	171.0435394
131.6582915	172.1368899
132.160804	173.2233525
132.6633166	174.3029133
133.1658291	175.3755701
133.6683417	176.4440537
134.1708543	177.5168208
134.6733668	178.5937138
135.1758794	179.6738871
135.678392	180.7565043
136.1809045	181.8198697
136.6834171	182.8278815
137.1859296	183.8345835
137.6884422	184.8394946
138.1909548	185.8421423
138.6934673	186.8420623
139.1959799	187.8387985
139.6984925	188.8319028
140.201005	189.8209354
140.7035176	190.8054643
141.2060302	191.7850653
141.7085427	192.7593222
142.2110553	193.7278264
142.7135678	194.6901769
143.2160804	195.6459802
143.718593	196.5948501
144.2211055	197.5364079
144.7236181	198.4702818
145.2261307	199.3961072
145.7286432	200.3135263
146.2311558	201.2221881
146.7336683	202.1217483
147.2361809	203.0118692
147.7386935	203.8922193
148.241206	204.7624736
148.7437186	205.622313
149.2462312	206.4714247
149.7487437	207.3095014
150.2512563	208.1362419
150.7537688	208.9513503
151.2562814	209.7545365
151.758794	210.5455153
152.2613065	211.3240071
152.7638191	212.0897372
153.2663317	212.8424358
153.7688442	213.5818379
154.2713568	214.3076833
154.7738693	215.0197161
155.2763819	215.7176851
155.7788945	216.4013432
156.281407	217.0704474
156.7839196	217.7247589
157.2864322	218.3640425
157.7889447	218.988067
158.2914573	219.5966048
158.7939698	220.1894317
159.2964824	220.7177277
159.798995	221.0755004
160.3015075	221.403
160.8040201	221.6996849
161.3065327	221.9650176
161.8090452	222.198464
162.3115578	222.3994939
162.8140704	222.5675804
163.3165829	222.7022004
163.8190955	222.8028341
164.321608	222.8689651
164.8241206	222.9000804
165.3266332	222.8956704
165.8291457	222.8552288
166.3316583	222.7782522
166.8341709	222.664742
167.3366834	222.5210728
167.839196	222.3498652
168.3417085	222.1518257
168.8442211	221.9276629
169.3467337	221.6780879
169.8492462	221.4038137
170.3517588	221.1055555
170.8542714	220.7840306
171.3567839	220.4399584
171.8592965	220.0740604
172.361809	219.6870599
172.8643216	219.2796824
173.3668342	218.8526552
173.8693467	218.4067076
174.3718593	217.9425707
174.8743719	217.4609776
175.3768844	216.9626631
175.879397	216.4483639
176.3819095	215.9188186
176.8844221	215.3747672
177.3869347	214.8169519
177.8894472	214.2461162
178.3919598	213.6630056
178.8944724	213.0683671
179.3969849	212.4629493
179.8994975	211.8475025
180.4020101	211.2227787
180.9045226	210.5895313
181.4070352	209.9485154
181.9095477	209.3004873
182.4120603	208.6462053
182.9145729	207.9864289
183.4170854	207.321919
183.919598	206.6534382
184.4221106	205.9817503
184.9246231	205.3076206
185.4271357	204.6318157
185.9296482	203.9551039
186.4321608	203.2782544
186.9346734	202.6020381
187.4371859	201.9272269
187.9396985	201.2545942
188.4422111	200.5849148
188.9447236	199.9189644
189.4472362	199.2575203
189.9497487	198.6013607
190.4522613	197.9512655
190.9547739	197.3080152
191.4572864	196.672392
191.959799	196.0451789
192.4623116	195.4271603
192.9648241	194.8191216
193.4673367	194.2218493
193.9698492	193.6361312
194.4723618	193.0627561
194.9748744	192.5025137
195.4773869	191.9561949
195.9798995	191.4245918
196.4824121	190.9084973
196.9849246	190.4087055
197.4874372	189.9260115
197.9899497	189.4612111
198.4924623	189.0151016
198.9949749	188.5884808
199.4974874	188.1821478
200	187.7969024
