r	sigma
100	101.3550945
100.5025126	101.9600406
101.0050251	102.6062761
101.5075377	103.2922452
102.0100503	104.0164218
102.5125628	104.777309
103.0150754	105.5724617
103.5175879	106.4017497
104.0201005	107.2639333
104.5226131	108.1575107
105.0251256	109.0810187
105.5276382	110.0330315
106.0301508	111.0115644
106.5326633	112.0155787
107.0351759	113.0440595
107.5376884	114.0957734
108.040201	115.1695107
108.5427136	116.2640846
109.0452261	117.378331
109.5477387	118.5111082
110.0502513	119.6612958
110.5527638	120.8277949
111.0552764	122.009527
111.5577889	123.2054343
112.0603015	124.4144787
112.5628141	125.6356413
113.0653266	126.8679226
113.5678392	128.1103413
114.0703518	129.3619345
114.5728643	130.6215665
115.0753769	131.8883751
115.5778894	133.1618614
116.080402	134.4412169
116.5829146	135.7250338
117.0854271	137.0125122
117.5879397	138.3029351
118.0904523	139.5954569
118.5929648	140.8892646
119.0954774	142.1835601
119.5979899	143.4775595
120.1005025	144.7704934
120.6030151	146.0616058
121.1055276	147.3501546
121.6080402	148.6354105
122.1105528	149.9166575
122.6130653	151.1931919
123.1155779	152.4643224
123.6180905	153.7293699
124.120603	154.9858661
124.6231156	156.2339777
125.1256281	157.4740699
125.6281407	158.7055944
126.1306533	159.9280187
126.6331658	161.1408248
127.1356784	162.3435097
127.638191	163.5355847
128.1407035	164.7165751
128.6432161	165.8860203
129.1457286	167.043473
129.6482412	168.1884994
130.1507538	169.3206787
130.6532663	170.4396028
131.1557789	171.5448764
131.6582915	172.6311762
132.160804	173.6993048
132.6633166	174.7508954
133.1658291	175.7854515
133.6683417	176.8038013
134.1708543	177.8198608
134.6733668	178.8355432
135.1758794	179.8504208
135.678392	180.8640724
136.1809045	181.8760842
136.6834171	182.8860487
137.1859296	183.893565
137.6884422	184.8982389
138.1909548	185.8996823
138.6934673	186.8975134
139.1959799	187.8913565
139.6984925	188.8808421
140.201005	189.8656061
140.7035176	190.8452906
141.2060302	191.8195433
141.7085427	192.7880172
142.2110553	193.7503711
142.7135678	194.7062688
143.2160804	195.6553798
143.718593	196.5973782
144.2211055	197.5319437
144.7236181	198.4587606
145.2261307	199.3775182
145.7286432	200.2879106
146.2311558	201.1896366
146.7336683	202.0823994
147.2361809	202.965907
147.7386935	203.8398718
148.241206	204.7040103
148.7437186	205.5580435
149.2462312	206.4016965
149.7487437	207.2346987
150.2512563	208.0567831
150.7537688	208.8676871
151.2562814	209.6671519
151.758794	210.4549222
152.2613065	211.2307469
152.7638191	211.9918255
153.2663317	212.7399447
153.7688442	213.4752199
154.2713568	214.1974231
154.7738693	214.9063309
155.2763819	215.6017245
155.7788945	216.2833896
156.281407	216.9511163
156.7839196	217.604699
157.2864322	218.2439363
157.7889447	218.8686312
158.2914573	219.4785908
158.7939698	220.0736261
159.2964824	220.6535523
159.798995	221.2181885
160.3015075	221.7673576
160.8040201	222.3008864
161.3065327	222.8186054
161.8090452	223.320349
162.3115578	223.8059549
162.8140704	224.2752648
163.3165829	224.7281235
163.8190955	225.1643797
164.321608	225.5838854
164.8241206	225.9864957
165.3266332	226.3720693
165.8291457	226.7404683
166.3316583	227.0915576
166.8341709	227.0851404
167.3366834	226.3966256
167.839196	225.7137596
168.3417085	225.0363418
168.8442211	224.3641741
169.3467337	223.6970602
169.8492462	223.0348063
170.3517588	222.3772205
170.8542714	221.7241131
171.3567839	221.0752964
171.8592965	220.4305848
172.361809	219.7897948
172.8643216	219.1527446
173.3668342	218.5192546
173.8693467	217.889147
174.3718593	217.2622459
174.8743719	216.6383774
175.3768844	216.0173693
175.879397	215.3990512
176.3819095	214.7832545
176.8844221	214.1698125
177.3869347	213.55856
177.8894472	212.9493337
178.3919598	212.341972
178.8944724	211.7363148
179.3969849	211.1322037
179.8994975	210.5294821
180.4020101	209.9279947
180.9045226	209.327588
181.4070352	208.72811
181.9095477	208.12941
182.4120603	207.5313393
182.9145729	206.9337502
183.4170854	206.3364967
183.919598	205.7394343
184.4221106	205.1424197
184.9246231	204.5453113
185.4271357	203.9479686
185.9296482	203.3502527
186.4321608	202.752026
186.9346734	202.1531521
187.4371859	201.553496
187.9396985	200.9529241
188.4422111	200.3513039
188.9447236	199.7485044
189.4472362	199.1443956
189.9497487	198.5388488
190.4522613	197.9317366
190.9547739	197.3229328
191.4572864	196.7123122
191.959799	196.0997511
192.4623116	195.4851266
192.9648241	194.8683171
193.4673367	194.2492021
193.9698492	193.6276623
194.4723618	193.0035793
194.9748744	192.3768361
195.4773869	191.7473163
195.9798995	191.114905
196.4824121	190.479488
196.9849246	189.8409524
197.4874372	189.1991862
197.9899497	188.5540783
198.4924623	187.9055187
198.9949749	187.2533983
199.4974874	186.5976091
200	185.9380439
