r	hill
100	94.66693084
100.5025126	96.05604717
101.0050251	97.43823522
101.5075377	98.81356375
102.0100503	100.1821005
102.5125628	101.5439122
103.0150754	102.8990647
103.5175879	104.2476227
104.0201005	105.5896502
104.5226131	106.92521
105.0251256	108.2543643
105.5276382	109.5771741
106.0301508	110.8936998
106.5326633	112.2040007
107.0351759	113.5081355
107.5376884	114.8061619
108.040201	116.0981368
108.5427136	117.3841165
109.0452261	118.6641564
109.5477387	119.9383109
110.0502513	121.2066341
110.5527638	122.469179
111.0552764	123.7259981
111.5577889	124.977143
112.0603015	126.2226648
112.5628141	127.4626137
113.0653266	128.6970395
113.5678392	129.9259911
114.0703518	131.1495168
114.5728643	132.3676644
115.0753769	133.5804809
115.5778894	134.7880128
116.080402	135.9903059
116.5829146	137.1874055
117.0854271	138.3793563
117.5879397	139.5662024
118.0904523	140.7479872
118.5929648	141.9247539
119.0954774	143.0965447
119.5979899	144.2634017
120.1005025	145.4253663
120.6030151	146.5824791
121.1055276	147.7347807
121.6080402	148.8823108
122.1105528	150.0251089
122.6130653	151.1632137
123.1155779	152.2966636
123.6180905	153.4254967
124.120603	154.5497502
124.6231156	155.6694614
125.1256281	156.7846666
125.6281407	157.8954021
126.1306533	159.0017035
126.6331658	160.103606
127.1356784	161.2011446
127.638191	162.2943537
128.1407035	163.3832672
128.6432161	164.4679187
129.1457286	165.5483417
129.6482412	166.6245688
130.1507538	167.6966325
130.6532663	168.764565
131.1557789	169.8283979
131.6582915	170.8881625
132.160804	171.94389
132.6633166	172.9956109
133.1658291	174.0433556
133.6683417	175.0871539
134.1708543	176.1270356
134.6733668	177.1630298
135.1758794	178.1951655
135.678392	179.2234714
136.1809045	180.2479759
136.6834171	181.2687068
137.1859296	182.2856919
137.6884422	183.2989586
138.1909548	184.3085339
138.6934673	185.3144447
139.1959799	186.3167176
139.6984925	187.3153786
140.201005	188.3104537
140.7035176	189.3019686
141.2060302	190.2899488
141.7085427	191.2744192
142.2110553	192.2554047
142.7135678	193.23293
143.2160804	194.2070193
143.718593	195.1776968
144.2211055	196.1449862
144.7236181	197.1089111
145.2261307	198.0694948
145.7286432	199.0267605
146.2311558	199.9807309
146.7336683	200.9314286
147.2361809	201.8788761
147.7386935	202.8230956
148.241206	203.7641088
148.7437186	204.7019375
149.2462312	205.6366033
149.7487437	206.5681273
150.2512563	207.4965306
150.7537688	208.421834
151.2562814	209.3440583
151.758794	210.2632237
152.2613065	211.1793506
152.7638191	212.092459
153.2663317	213.0025686
153.7688442	213.9096991
154.2713568	214.81387
154.7738693	215.7151005
155.2763819	216.6134096
155.7788945	217.5088163
156.281407	218.4013392
156.7839196	219.2909969
157.2864322	220.1778077
157.7889447	221.0617897
158.2914573	221.942961
158.7939698	222.8213393
159.2964824	223.6969423
159.798995	224.5697875
160.3015075	225.4398923
160.8040201	226.3072737
161.3065327	227.1719487
161.8090452	228.0339343
162.3115578	228.893247
162.8140704	229.7499034
163.3165829	230.6039199
163.8190955	231.4553127
164.321608	231.0571575
164.8241206	230.2173342
165.3266332	229.3851572
165.8291457	228.560534
166.3316583	227.7433734
166.8341709	226.9335857
167.3366834	226.1310824
167.839196	225.3357765
168.3417085	224.547582
168.8442211	223.7664145
169.3467337	222.9921907
169.8492462	222.2248286
170.3517588	221.4642472
170.8542714	220.710367
171.3567839	219.9631094
171.8592965	219.2223971
172.361809	218.4881539
172.8643216	217.7603047
173.3668342	217.0387754
173.8693467	216.3234932
174.3718593	215.614386
174.8743719	214.911383
175.3768844	214.2144143
175.879397	213.5234111
176.3819095	212.8383056
176.8844221	212.1590306
177.3869347	211.4855204
177.8894472	210.8177099
178.3919598	210.1555348
178.8944724	209.498932
179.3969849	208.8478392
179.8994975	208.2021949
180.4020101	207.5619383
180.9045226	206.9270099
181.4070352	206.2973505
181.9095477	205.6729021
182.4120603	205.0536073
182.9145729	204.4394096
183.4170854	203.8302531
183.919598	203.226083
184.4221106	202.6268448
184.9246231	202.032485
185.4271357	201.4429509
185.9296482	200.8581904
186.4321608	200.278152
186.9346734	199.702785
187.4371859	199.1320395
187.9396985	198.565866
188.4422111	198.0042158
188.9447236	197.4470409
189.4472362	196.8942939
189.9497487	196.345928
190.4522613	195.801897
190.9547739	195.2621553
191.4572864	194.7266579
191.959799	194.1953606
192.4623116	193.6682194
192.9648241	193.1451911
193.4673367	192.626233
193.9698492	192.1113031
194.4723618	191.6003598
194.9748744	191.0933619
195.4773869	190.590269
195.9798995	190.0910411
196.4824121	189.5956387
196.9849246	189.1040228
197.4874372	188.6161549
197.9899497	188.1319971
198.4924623	187.6515117
198.9949749	187.1746617
199.4974874	186.7014107
200	186.2317223
