r	sigma
100	-325.4681088
101.010101	-321.1437779
102.020202	-316.8284327
103.030303	-312.5220733
104.040404	-308.2246995
105.0505051	-303.9363114
106.0606061	-299.656909
107.0707071	-295.3864924
108.0808081	-291.1250614
109.0909091	-286.8726161
110.1010101	-282.6291566
111.1111111	-278.3946827
112.1212121	-274.1691945
113.1313131	-269.9526921
114.1414141	-265.7451753
115.1515152	-261.5466442
116.1616162	-257.3570989
117.1717172	-253.1797254
118.1818182	-249.0336408
119.1919192	-244.9220313
120.2020202	-240.8448969
121.2121212	-236.8022376
122.2222222	-232.7940534
123.2323232	-228.8203443
124.2424242	-224.8811103
125.2525253	-220.9763514
126.2626263	-217.1060676
127.2727273	-213.2702589
128.2828283	-209.4689253
129.2929293	-205.7020667
130.3030303	-201.9696833
131.3131313	-198.2717749
132.3232323	-194.6083417
133.3333333	-190.9793835
134.3434343	-187.3781498
135.3535354	-183.7978897
136.3636364	-180.2386033
137.3737374	-176.7002906
138.3838384	-173.1829515
139.3939394	-169.6865862
140.4040404	-166.2111945
141.4141414	-162.7567765
142.4242424	-159.3233322
143.4343434	-155.9108616
144.4444444	-152.5193646
145.4545455	-149.1488414
146.4646465	-145.7992918
147.4747475	-142.4707159
148.4848485	-139.1631137
149.4949495	-135.8764852
150.5050505	-132.6113864
151.5151515	-129.3711538
152.5252525	-126.1563434
153.5353535	-122.9669551
154.5454545	-119.8029891
155.5555556	-116.6644453
156.5656566	-113.5513237
157.5757576	-110.4636243
158.5858586	-107.401347
159.5959596	-104.364492
160.6060606	-101.3530592
161.6161616	-98.36704864
162.6262626	-95.40646025
163.6363636	-92.47129407
164.6464646	-89.56155008
165.6565657	-86.6772283
166.6666667	-83.81832873
167.6767677	-80.97052349
168.6868687	-78.11948471
169.6969697	-75.2652124
170.7070707	-72.40770655
171.7171717	-69.54696717
172.7272727	-66.68299425
173.7373737	-63.81578779
174.7474747	-60.9453478
175.7575758	-58.08294904
176.7676768	-55.25615207
177.7777778	-52.46620962
178.7878788	-49.7131217
179.7979798	-46.99688832
180.8080808	-44.31750946
181.8181818	-41.67498514
182.8282828	-39.06931535
183.8383838	-36.49868256
184.8484848	-33.9521816
185.8585859	-31.42799493
186.8686869	-28.92612256
187.8787879	-26.44656449
188.8888889	-23.98932071
189.8989899	-21.55439123
190.9090909	-19.14177605
191.9191919	-16.75233549
192.9292929	-14.40499681
193.9393939	-12.10750299
194.9494949	-9.859854017
195.959596	-7.662049894
196.969697	-5.514090622
197.979798	-3.4159762
198.989899	-1.367706629
200	0.6307180912
