r	sigma
100	-209.4889296
101.010101	-221.9625036
102.020202	-233.5497029
103.030303	-244.2505273
104.040404	-254.0649769
105.0505051	-262.9930518
106.0606061	-271.0347518
107.0707071	-278.1900771
108.0808081	-284.4590276
109.0909091	-289.8416033
110.1010101	-294.3378042
111.1111111	-297.9476303
112.1212121	-300.6710816
113.1313131	-302.5081582
114.1414141	-303.4588599
115.1515152	-303.5231869
116.1616162	-302.7011391
117.1717172	-300.9927165
118.1818182	-298.3979191
119.1919192	-294.9167469
120.2020202	-290.5492
121.2121212	-285.2952782
122.2222222	-279.1549817
123.2323232	-272.1283103
124.2424242	-264.2152642
125.2525253	-255.4158433
126.2626263	-245.7300476
127.2727273	-235.1578772
128.2828283	-223.6993319
129.2929293	-211.3544118
130.3030303	-198.123117
131.3131313	-184.0054474
132.3232323	-169.0014029
133.3333333	-153.1109837
134.3434343	-154.4424145
135.3535354	-155.5219179
136.3636364	-156.3494941
137.3737374	-156.925143
138.3838384	-157.2488647
139.3939394	-157.3206591
140.4040404	-157.1405263
141.4141414	-156.7084661
142.4242424	-156.0244788
143.4343434	-155.0885641
144.4444444	-153.9007223
145.4545455	-152.4609531
146.4646465	-150.7692567
147.4747475	-148.825633
148.4848485	-146.6300821
149.4949495	-144.1826039
150.5050505	-141.4831985
151.5151515	-138.5318658
152.5252525	-135.3286058
153.5353535	-131.8734186
154.5454545	-128.1663041
155.5555556	-124.2072623
156.5656566	-119.9962933
157.5757576	-115.533397
158.5858586	-110.8185735
159.5959596	-105.8518227
160.6060606	-100.6331447
161.6161616	-95.16253937
162.6262626	-89.4400068
163.6363636	-83.46554697
164.6464646	-77.23915988
165.6565657	-70.76084553
166.6666667	-64.03060392
167.6767677	-65.62658204
168.6868687	-66.94654085
169.6969697	-67.99048036
170.7070707	-68.75840057
171.7171717	-69.25030148
172.7272727	-69.4661831
173.7373737	-69.40604541
174.7474747	-69.06988842
175.7575758	-68.45771213
176.7676768	-67.56951654
177.7777778	-66.40530165
178.7878788	-64.96506746
179.7979798	-63.24881397
180.8080808	-61.25654118
181.8181818	-58.98824909
182.8282828	-56.4439377
183.8383838	-53.623607
184.8484848	-50.52725701
185.8585859	-47.15488772
186.8686869	-43.50649913
187.8787879	-39.58209124
188.8888889	-35.38166404
189.8989899	-30.90521755
190.9090909	-26.15275176
191.9191919	-21.12426666
192.9292929	-15.81976227
193.9393939	-10.23923857
194.9494949	-4.38269558
195.959596	1.749866714
196.969697	8.158448309
197.979798	14.8430492
198.989899	21.8036694
200	29.0403089
