r	sigma
100	-204.179406
101.010101	-206.0977328
102.020202	-207.8586939
103.030303	-209.4622893
104.040404	-210.908519
105.0505051	-212.1973829
106.0606061	-213.3288811
107.0707071	-214.3030136
108.0808081	-215.1197803
109.0909091	-215.7791814
110.1010101	-216.2812167
111.1111111	-216.6258863
112.1212121	-216.8131901
113.1313131	-216.8431282
114.1414141	-216.7157006
115.1515152	-216.4309073
116.1616162	-215.9887483
117.1717172	-215.3892235
118.1818182	-214.632333
119.1919192	-213.7180768
120.2020202	-212.6464548
121.2121212	-211.4174671
122.2222222	-210.0311137
123.2323232	-208.4873946
124.2424242	-206.7863098
125.2525253	-204.9278592
126.2626263	-202.9120429
127.2727273	-200.7388608
128.2828283	-198.4083131
129.2929293	-195.9203996
130.3030303	-193.2751204
131.3131313	-190.4724754
132.3232323	-187.5124648
133.3333333	-184.3950884
134.3434343	-181.180001
135.3535354	-177.9268574
136.3636364	-174.6356576
137.3737374	-171.3064016
138.3838384	-167.9390893
139.3939394	-164.5337208
140.4040404	-161.090296
141.4141414	-157.6088151
142.4242424	-154.0892779
143.4343434	-150.5316845
144.4444444	-146.9360348
145.4545455	-143.3023289
146.4646465	-139.6305668
147.4747475	-135.9207485
148.4848485	-132.1728739
149.4949495	-128.3869431
150.5050505	-124.5629561
151.5151515	-120.7009128
152.5252525	-116.8008134
153.5353535	-112.8626577
154.5454545	-108.8864457
155.5555556	-104.8721776
156.5656566	-100.8198532
157.5757576	-96.72947254
158.5858586	-92.60103569
159.5959596	-88.43454261
160.6060606	-84.2299933
161.6161616	-79.98738776
162.6262626	-75.70672599
163.6363636	-71.388008
164.6464646	-67.03123377
165.6565657	-62.63640332
166.6666667	-58.20351664
167.6767677	-53.80025615
168.6868687	-49.49430428
169.6969697	-45.28566102
170.7070707	-41.17432637
171.7171717	-37.16030033
172.7272727	-33.24358291
173.7373737	-29.42417411
174.7474747	-25.70207391
175.7575758	-22.07728233
176.7676768	-18.54979937
177.7777778	-15.11962501
178.7878788	-11.78675928
179.7979798	-8.55120215
180.8080808	-5.412953638
181.8181818	-2.37201374
182.8282828	0.5716175439
183.8383838	3.417940215
184.8484848	6.166954272
185.8585859	8.818659715
186.8686869	11.37305655
187.8787879	13.83014476
188.8888889	16.18992436
189.8989899	18.45239535
190.9090909	20.61755773
191.9191919	22.68541149
192.9292929	24.65595664
193.9393939	26.52919317
194.9494949	28.30512109
195.959596	29.9837404
196.969697	31.56505109
197.979798	33.04905317
198.989899	34.43574664
200	35.72513149
