r	hill
100	-328.68
101.010101	-323.8558388
102.020202	-319.07968
103.030303	-314.3505777
104.040404	-309.6676137
105.0505051	-305.0298965
106.0606061	-300.43656
107.0707071	-295.8867629
108.0808081	-291.3796875
109.0909091	-286.914539
110.1010101	-282.4905446
111.1111111	-278.1069525
112.1212121	-273.7630314
113.1313131	-269.4580698
114.1414141	-265.1913751
115.1515152	-260.9622728
116.1616162	-256.7701064
117.1717172	-252.6142363
118.1818182	-248.4940394
119.1919192	-244.4089083
120.2020202	-240.3582514
121.2121212	-236.3414915
122.2222222	-232.3580662
123.2323232	-228.4074266
124.2424242	-224.4890375
125.2525253	-220.6023766
126.2626263	-216.7469342
127.2727273	-212.9222127
128.2828283	-209.1277266
129.2929293	-205.3630014
130.3030303	-201.627574
131.3131313	-197.9209918
132.3232323	-194.2428129
133.3333333	-190.5926052
134.3434343	-186.9699465
135.3535354	-183.3744241
136.3636364	-179.8056344
137.3737374	-176.2631829
138.3838384	-172.7466837
139.3939394	-169.2557592
140.4040404	-165.7900402
141.4141414	-162.3491652
142.4242424	-158.9327807
143.4343434	-155.5405404
144.4444444	-152.1721055
145.4545455	-148.8271443
146.4646465	-145.5053317
147.4747475	-142.2063496
148.4848485	-138.9298864
149.4949495	-135.6756367
150.5050505	-132.4433012
151.5151515	-129.2325869
152.5252525	-126.0432064
153.5353535	-122.8748781
154.5454545	-119.7273258
155.5555556	-116.6002789
156.5656566	-113.4934719
157.5757576	-110.4066446
158.5858586	-107.3395415
159.5959596	-104.2919122
160.6060606	-101.263511
161.6161616	-98.25409675
162.6262626	-95.26343287
163.6363636	-92.29128715
164.6464646	-89.33743168
165.6565657	-86.40164271
166.6666667	-83.48370059
167.6767677	-80.58338965
168.6868687	-77.7004981
169.6969697	-74.83481795
170.7070707	-71.9861449
171.7171717	-69.15427828
172.7272727	-66.33902094
173.7373737	-63.54017919
174.7474747	-60.75756271
175.7575758	-57.99098444
176.7676768	-55.24026058
177.7777778	-52.50521045
178.7878788	-49.78565643
179.7979798	-47.08142392
180.8080808	-44.39234126
181.8181818	-41.71823964
182.8282828	-39.05895306
183.8383838	-36.41431827
184.8484848	-33.7841747
185.8585859	-31.18221897
186.8686869	-28.63543542
187.8787879	-26.1431272
188.8888889	-23.70384556
189.8989899	-21.31618771
190.9090909	-18.97879516
191.9191919	-16.69035212
192.9292929	-14.44958388
193.9393939	-12.25525538
194.9494949	-10.10616976
195.959596	-8.001166975
196.969697	-5.939122485
197.979798	-3.91894601
198.989899	-1.939580305
200	-0
