r	sigma
100	-91.50628123
101.010101	-87.04201461
102.020202	-82.57440373
103.030303	-78.10344858
104.040404	-73.62914917
105.0505051	-69.1515055
106.0606061	-64.67051756
107.0707071	-60.18618536
108.0808081	-55.6985089
109.0909091	-51.20748818
110.1010101	-46.71312319
111.1111111	-42.21541394
112.1212121	-37.71436043
113.1313131	-33.20996265
114.1414141	-28.70222062
115.1515152	-24.19113431
116.1616162	-19.67670375
117.1717172	-15.16747336
118.1818182	-10.71470977
119.1919192	-6.326957411
120.2020202	-2.00421629
121.2121212	2.253513595
122.2222222	6.446232245
123.2323232	10.57393966
124.2424242	14.63663584
125.2525253	18.63432078
126.2626263	22.56699449
127.2727273	26.43465696
128.2828283	30.2373082
129.2929293	33.9749482
130.3030303	37.64757696
131.3131313	41.25519449
132.3232323	44.79780079
133.3333333	48.27539585
134.3434343	51.7189272
135.3535354	55.15934237
136.3636364	58.59664135
137.3737374	62.03082416
138.3838384	65.46189078
139.3939394	68.88984122
140.4040404	72.31467548
141.4141414	75.73639355
142.4242424	79.15499545
143.4343434	82.57048116
144.4444444	85.98285069
145.4545455	89.39210404
146.4646465	92.79824121
147.4747475	96.20126219
148.4848485	99.60116699
149.4949495	102.9979556
150.5050505	106.387749
151.5151515	109.7472733
152.5252525	113.0726493
153.5353535	116.3638771
154.5454545	119.6209568
155.5555556	122.8438882
156.5656566	126.0326714
157.5757576	129.1873064
158.5858586	132.3077933
159.5959596	135.3941319
160.6060606	138.4463223
161.6161616	141.4643645
162.6262626	144.4482585
163.6363636	147.3980043
164.6464646	150.3136019
165.6565657	153.1950513
166.6666667	156.0423525
167.6767677	158.878976
168.6868687	161.7283924
169.6969697	164.5906016
170.7070707	167.4656037
171.7171717	170.3533987
172.7272727	173.2539865
173.7373737	176.1673671
174.7474747	179.0935406
175.7575758	182.0081832
176.7676768	184.851837
177.7777778	187.6217991
178.7878788	190.3180697
179.7979798	192.9406487
180.8080808	195.4895362
181.8181818	197.9647321
182.8282828	200.3662364
183.8383838	202.6513165
184.8484848	204.5635763
185.8585859	206.0602831
186.8686869	207.141437
187.8787879	207.8070379
188.8888889	208.0570858
189.8989899	207.8915808
190.9090909	207.3105228
191.9191919	206.3181125
192.9292929	205.0067653
193.9393939	203.4142875
194.9494949	201.5406791
195.959596	199.3859401
196.969697	196.9500705
197.979798	194.2330702
198.989899	191.2349394
200	187.9556779
