r	sigma
100	-60.70931261
101.010101	-62.46070913
102.020202	-62.67932498
103.030303	-61.36516015
104.040404	-58.51821464
105.0505051	-54.13848846
106.0606061	-48.22598161
107.0707071	-40.78069408
108.0808081	-31.80262588
109.0909091	-28.15466204
110.1010101	-26.29942687
111.1111111	-24.09756072
112.1212121	-21.54906359
113.1313131	-18.65393549
114.1414141	-15.41217641
115.1515152	-11.82378635
116.1616162	-7.888765317
117.1717172	-4.440314641
118.1818182	-1.614047168
119.1919192	1.378034155
120.2020202	4.535929327
121.2121212	7.859638349
122.2222222	11.34916122
123.2323232	15.00449794
124.2424242	18.82564852
125.2525253	22.81261294
126.2626263	26.96539121
127.2727273	31.28398333
128.2828283	35.7683893
129.2929293	40.41860912
130.3030303	45.2346428
131.3131313	50.21649032
132.3232323	55.36415169
133.3333333	60.67762691
134.3434343	63.09556626
135.3535354	65.59808915
136.3636364	68.18519556
137.3737374	70.85688551
138.3838384	73.61315898
139.3939394	76.45401599
140.4040404	79.37945653
141.4141414	82.3894806
142.4242424	85.48408819
143.4343434	88.66327932
144.4444444	91.92705398
145.4545455	95.27541217
146.4646465	98.7083539
147.4747475	102.2258791
148.4848485	105.8279879
149.4949495	109.5146802
150.5050505	112.569447
151.5151515	114.9808443
152.5252525	117.4615663
153.5353535	120.0116131
154.5454545	122.6309848
155.5555556	125.3196812
156.5656566	128.0777025
157.5757576	130.9050485
158.5858586	133.8017194
159.5959596	136.767715
160.6060606	139.8030355
161.6161616	142.9076807
162.6262626	146.0816508
163.6363636	149.3249457
164.6464646	152.6375653
165.6565657	156.0195098
166.6666667	159.4707791
167.6767677	161.8679736
168.6868687	164.3119693
169.6969697	166.8027664
170.7070707	169.3403647
171.7171717	171.9247644
172.7272727	174.5559654
173.7373737	177.2339676
174.7474747	179.9587712
175.7575758	182.7303761
176.7676768	185.5487822
177.7777778	188.4139897
178.7878788	191.3259985
179.7979798	194.2848085
180.8080808	197.2904199
181.8181818	200.3428325
182.8282828	203.4420465
183.8383838	204.8685583
184.8484848	204.5416077
185.8585859	204.1537781
186.8686869	203.7050693
187.8787879	203.1954815
188.8888889	202.6250146
189.8989899	201.9936686
190.9090909	201.3014435
191.9191919	200.5483394
192.9292929	199.7343561
193.9393939	198.8594938
194.9494949	197.9237524
195.959596	196.927132
196.969697	195.8696324
197.979798	194.7512538
198.989899	193.5719961
200	192.3318593
