r	sigma
100	-37.34665206
101.010101	-41.42727983
102.020202	-44.85831183
103.030303	-47.63974807
104.040404	-49.77158855
105.0505051	-51.25383327
106.0606061	-52.08648223
107.0707071	-52.26953542
108.0808081	-51.80299286
109.0909091	-50.68685453
110.1010101	-48.92112044
111.1111111	-46.50579059
112.1212121	-43.44086498
113.1313131	-39.72634361
114.1414141	-35.36222647
115.1515152	-30.34851358
116.1616162	-24.68520492
117.1717172	-18.49449409
118.1818182	-12.50954266
119.1919192	-6.852544224
120.2020202	-1.523498774
121.2121212	3.477593687
122.2222222	8.150733158
123.2323232	12.49591964
124.2424242	16.51315313
125.2525253	20.21324758
126.2626263	23.83410977
127.2727273	27.4730652
128.2828283	31.13011388
129.2929293	34.80525581
130.3030303	38.49849099
131.3131313	42.20981941
132.3232323	45.93924108
133.3333333	49.68675599
134.3434343	53.39827652
135.3535354	57.01971502
136.3636364	60.5510715
137.3737374	63.99234597
138.3838384	67.34353841
139.3939394	70.60464882
140.4040404	73.77567722
141.4141414	76.8566236
142.4242424	79.88890622
143.4343434	82.97376976
144.4444444	86.11581624
145.4545455	89.31504566
146.4646465	92.57145802
147.4747475	95.88505332
148.4848485	99.25583157
149.4949495	102.6837928
150.5050505	106.1563718
151.5151515	109.5981783
152.5252525	112.996647
153.5353535	116.3517781
154.5454545	119.6635716
155.5555556	122.9320273
156.5656566	126.1571454
157.5757576	129.3389258
158.5858586	132.4773685
159.5959596	135.5724736
160.6060606	138.6242409
161.6161616	141.6326706
162.6262626	144.5977626
163.6363636	147.519517
164.6464646	150.3979336
165.6565657	153.2330126
166.6666667	156.0247539
167.6767677	158.8039529
168.6868687	161.6014048
169.6969697	164.4171096
170.7070707	167.2510673
171.7171717	170.1032781
172.7272727	172.9737417
173.7373737	175.8624583
174.7474747	178.7694278
175.7575758	181.6946503
176.7676768	184.6381257
177.7777778	187.599854
178.7878788	190.5798353
179.7979798	193.5780696
180.8080808	196.5945567
181.8181818	199.6292968
182.8282828	202.6822899
183.8383838	205.7027674
184.8484848	208.3861187
185.8585859	210.6815754
186.8686869	212.5891373
187.8787879	214.1088046
188.8888889	215.2405771
189.8989899	215.984455
190.9090909	216.3404382
191.9191919	216.3085267
192.9292929	215.8887206
193.9393939	215.0810197
194.9494949	213.8854242
195.959596	212.301934
196.969697	210.3305491
197.979798	207.9712695
198.989899	205.2240953
200	202.0890263
