r	hill
100	-88.68
101.010101	-83.85583879
102.020202	-79.07967998
103.030303	-74.35057769
104.040404	-69.66761371
105.0505051	-65.02989648
106.0606061	-60.43655999
107.0707071	-55.88676289
108.0808081	-51.37968752
109.0909091	-46.91453904
110.1010101	-42.49054459
111.1111111	-38.10695248
112.1212121	-33.76303143
113.1313131	-29.45806984
114.1414141	-25.19137508
115.1515152	-20.96227283
116.1616162	-16.77010645
117.1717172	-12.61423633
118.1818182	-8.494039361
119.1919192	-4.408908321
120.2020202	-0.3582513708
121.2121212	3.658508471
122.2222222	7.641933822
123.2323232	11.59257341
124.2424242	15.51096251
125.2525253	19.39762343
126.2626263	23.25306584
127.2727273	27.07778727
128.2828283	30.87227344
129.2929293	34.63699862
130.3030303	38.37242603
131.3131313	42.07900815
132.3232323	45.75718707
133.3333333	49.40739478
134.3434343	53.03005348
135.3535354	56.62557591
136.3636364	60.19436559
137.3737374	63.73681709
138.3838384	67.25331633
139.3939394	70.74424081
140.4040404	74.20995984
141.4141414	77.65083479
142.4242424	81.06721932
143.4343434	84.45945958
144.4444444	87.82789446
145.4545455	91.17285573
146.4646465	94.4946683
147.4747475	97.79365036
148.4848485	101.0701136
149.4949495	104.3243633
150.5050505	107.5566988
151.5151515	110.7674131
152.5252525	113.9567936
153.5353535	117.1251219
154.5454545	120.2726742
155.5555556	123.3997211
156.5656566	126.5065281
157.5757576	129.5933554
158.5858586	132.6604585
159.5959596	135.7080878
160.6060606	138.736489
161.6161616	141.7459032
162.6262626	144.7365671
163.6363636	147.7087128
164.6464646	150.6625683
165.6565657	153.5983573
166.6666667	156.5162994
167.6767677	159.4166103
168.6868687	162.2995019
169.6969697	165.165182
170.7070707	168.0138551
171.7171717	170.8457217
172.7272727	173.6609791
173.7373737	176.4598208
174.7474747	179.2424373
175.7575758	182.0090156
176.7676768	184.7597394
177.7777778	187.4947896
178.7878788	190.2143436
179.7979798	192.9185761
180.8080808	195.6076587
181.8181818	198.2817604
182.8282828	200.9410469
183.8383838	203.5856817
184.8484848	206.2158253
185.8585859	205.673253
186.8686869	204.3998612
187.8787879	203.1537071
188.8888889	201.9340663
189.8989899	200.7402373
190.9090909	199.5715411
191.9191919	198.4273195
192.9292929	197.3069354
193.9393939	196.2097712
194.9494949	195.1352284
195.959596	194.082727
196.969697	193.0517047
197.979798	192.0416165
198.989899	191.0519336
200	190.0821435
