r	hill	L2	QI	QI_C0
100	-88.68	-86.34680194	-77.19715382	-88.58263918
101.010101	-83.85583879	-82.85773955	-74.99303723	-88.79890468
102.020202	-79.07967998	-79.11173286	-72.32151805	-87.24013453
103.030303	-74.35057769	-75.10878187	-69.18259628	-83.90632871
104.040404	-69.66761371	-70.84888659	-65.57627192	-78.79748724
105.0505051	-65.02989648	-66.33204702	-61.50254497	-71.91361011
106.0606061	-60.43655999	-61.55826315	-56.96141543	-63.25469732
107.0707071	-55.88676289	-56.55991982	-52.00157433	-57.10433537
108.0808081	-51.37968752	-51.63657674	-47.07341378	-55.92131524
109.0909091	-46.91453904	-46.86109977	-42.28648861	-53.41611336
110.1010101	-42.49054459	-42.23348893	-37.64079882	-49.58872974
111.1111111	-38.10695248	-37.7537442	-33.13634441	-44.43916438
112.1212121	-33.76303143	-33.4218656	-28.77312538	-37.96741727
113.1313131	-29.45806984	-29.23785312	-24.55114173	-30.17348841
114.1414141	-25.19137508	-25.15229508	-20.43444138	-27.46440889
115.1515152	-20.96227283	-21.06327992	-16.3488732	-25.33004651
116.1616162	-16.77010645	-16.96771941	-12.29219017	-22.20143698
117.1717172	-12.61423633	-12.86561354	-8.264392302	-18.07858029
118.1818182	-8.494039361	-8.756962313	-4.265479588	-12.96147644
119.1919192	-4.408908321	-4.641765733	-0.2954520297	-6.850125432
120.2020202	-0.3582513708	-0.5211908623	3.645628548	-0.9407254176
121.2121212	3.658508471	3.566249218	7.555721943	1.027382655
122.2222222	7.641933822	7.601881498	11.43383897	3.738493708
123.2323232	11.59257341	11.58570598	15.27997962	7.19260774
124.2424242	15.51096251	15.51772266	19.0941439	11.38972475
125.2525253	19.39762343	19.39793154	22.87633181	16.32984474
126.2626263	23.25306584	23.22633262	26.62654335	22.01296771
127.2727273	27.07778727	27.00851439	30.3458999	25.70217998
128.2828283	30.87227344	30.76745178	34.0390116	28.16740593
129.2929293	34.63699862	34.50562855	37.70637683	31.19765964
130.3030303	38.37242603	38.22304472	41.34799561	34.79294111
131.3131313	42.07900815	41.91970027	44.96386792	38.95325034
132.3232323	45.75718707	45.59559521	48.55399377	43.67858734
133.3333333	49.40739478	49.25072955	52.11837316	48.9689521
134.3434343	53.03005348	52.88081658	55.65806277	51.28504282
135.3535354	56.62557591	56.48156961	59.17411927	54.03623388
136.3636364	60.19436559	60.05298865	62.66654266	57.2225253
137.3737374	63.73681709	63.59507369	66.13533295	60.84391707
138.3838384	67.25331633	67.10782474	69.58049014	64.90040919
139.3939394	70.74424081	70.59124179	73.00201422	69.39200166
140.4040404	74.20995984	74.04599014	76.40011274	73.2252008
141.4141414	77.65083479	77.47822371	79.77670555	75.7866911
