u	P
0.01054360667	18.24855
0.02108721333	36.4971
0.03163082	54.74565
0.04217442667	72.9942
0.05271803333	91.24275
0.06338083112	109.4913
0.07629727632	127.73985
0.09345660815	145.9884
0.1181636003	164.23695
0.161400826	182.4611984
0.1679220715	184.1873445
0.174443317	185.7043571
0.1809645625	187.0275906
0.187485808	188.1707685
0.1940070535	189.146206
0.200528299	189.9649964
0.2070495445	190.6371679
0.21357079	191.1718153
0.2200920355	191.5772127
0.226613281	191.8609093
0.2331345265	192.0298114
0.239655772	192.0902538
0.2461770175	192.0905814
0.252698263	192.0905814
0.2592195084	192.0905814
0.2657407539	192.0905814
0.2722619994	192.0905814
0.2787832449	192.0905814
0.2853044904	192.0905814
0.2918257359	192.0905814
0.2983469814	192.0905814
0.3048682269	192.0905814
0.3113894724	192.0905814
0.3179107179	192.0905814
0.3244319634	192.0905814
0.3309532089	192.0905814
0.3374744544	192.0905814
0.3439956999	192.0905814
0.3505169454	192.0905814
0.3570381909	192.0905814
0.3635594364	192.0905814
0.3700806819	192.0905814
0.3766019274	192.0905814
0.3831231729	192.0905814
0.3896444184	192.0905814
0.3961656639	192.0905814
0.4026869093	192.0905814
0.4092081548	192.0905814
0.4157294003	192.0905814
0.4222506458	192.0905814
0.4287718913	192.0905814
0.4352931368	192.0905814
0.4418143823	192.0905814
0.4483356278	192.0905814
0.4548568733	192.0905814
0.4613781188	192.0905814
0.4678993643	192.0905814
0.4744206098	192.0905814
0.4809418553	192.0905814
0.4874631008	192.0905814
0.4939843463	192.0905814
0.5005055918	192.0905814
0.5070268373	192.0905814
0.5135480828	192.0905814
0.5200693283	192.0905814
0.5265905738	192.0905814
0.5331118193	192.0905814
0.5396330648	192.0905814
0.5461543102	192.0905814
0.5526755557	192.0905814
0.5591968012	192.0905814
0.5657180467	192.0905814
0.5722392922	192.0905814
0.5787605377	192.0905814
0.5852817832	192.0905814
0.5918030287	192.0905814
0.5983242742	192.0905814
0.6048455197	192.0905814
0.6113667652	192.0905814
0.6178880107	192.0905814
0.6244092562	192.0905814
0.6309305017	192.0905814
0.6374517472	192.0905814
0.6439729927	192.0905814
0.6504942382	192.0905814
0.6570154837	192.0905814
0.6635367292	192.0905814
0.6700579747	192.0905814
0.6765792202	192.0905814
0.6831004657	192.0905814
0.6896217111	192.0905814
0.6961429566	192.0905814
0.7026642021	192.0905814
0.7091854476	192.0905814
0.7157066931	192.0905814
0.7222279386	192.0905814
0.7287491841	192.0905814
0.7352704296	192.0905814
0.7417916751	192.0905814
0.7483129206	192.0905814
0.7548341661	192.0905814
0.7613554116	192.0905814
0.7678766571	192.0905814
0.7743979026	192.0905814
0.7809191481	192.0905814
0.7874403936	192.0905814
0.7939616391	192.0905814
0.8004828846	192.0905814
0.8070041301	192.0905814
