r	sigma
100	-175.7056259
100.5025126	-175.2647705
101.0050251	-174.7721935
101.5075377	-174.229544
102.0100503	-173.5972527
102.5125628	-172.7919229
103.0150754	-171.9530613
103.5175879	-171.0821027
104.0201005	-170.1804488
104.5226131	-169.2494702
105.0251256	-168.2905071
105.5276382	-167.3048699
106.0301508	-166.2938406
106.5326633	-165.2586735
107.0351759	-164.200596
107.5376884	-163.1208093
108.040201	-162.0204896
108.5427136	-160.9007884
109.0452261	-159.7628334
109.5477387	-158.6077293
110.0502513	-157.4365585
110.5527638	-156.2503815
111.0552764	-155.0502377
111.5577889	-153.8371461
112.0603015	-152.6121057
112.5628141	-151.3760964
113.0653266	-150.130079
113.5678392	-148.8749964
114.0703518	-147.6117736
114.5728643	-146.3413185
115.0753769	-145.0645223
115.5778894	-143.78226
116.080402	-142.4953907
116.5829146	-141.2047584
117.0854271	-139.9111921
117.5879397	-138.6155066
118.0904523	-137.3185025
118.5929648	-136.0209667
119.0954774	-134.7236732
119.5979899	-133.4273829
120.1005025	-132.1328444
120.6030151	-130.8407943
121.1055276	-129.5519572
121.6080402	-128.2670467
122.1105528	-126.986765
122.6130653	-125.7118038
123.1155779	-124.3635657
123.6180905	-123.0232687
124.120603	-121.6928249
124.6231156	-120.3733429
125.1256281	-119.0659242
125.6281407	-117.771664
126.1306533	-116.4916507
126.6331658	-115.2269667
127.1356784	-113.9786878
127.638191	-112.7478839
128.1407035	-111.5356189
128.6432161	-110.3429507
129.1457286	-109.1709315
129.6482412	-108.0206079
130.1507538	-106.893021
130.6532663	-105.7892062
131.1557789	-104.710194
131.6582915	-103.6570092
132.160804	-102.6306718
132.6633166	-101.6321966
133.1658291	-100.6625937
133.6683417	-99.71606031
134.1708543	-98.77108756
134.6733668	-97.82615442
135.1758794	-96.88142255
135.678392	-95.93704978
136.1809045	-94.99319022
136.6834171	-94.04999432
137.1859296	-93.1076089
137.6884422	-92.16617728
138.1909548	-91.15998299
138.6934673	-90.14500088
139.1959799	-89.13153032
139.6984925	-88.12000943
140.201005	-87.11087047
140.7035176	-86.10453989
141.2060302	-85.10143846
141.7085427	-84.1019813
142.2110553	-83.10657795
142.7135678	-82.11563251
143.2160804	-81.12954364
143.718593	-80.14870465
144.2211055	-79.17350364
144.7236181	-78.20432347
145.2261307	-77.24154192
145.7286432	-76.28553174
146.2311558	-75.33666069
146.7336683	-74.39529169
147.2361809	-73.46178282
147.7386935	-72.53648744
148.241206	-71.61975427
148.7437186	-70.71192745
149.2462312	-69.81334663
149.7487437	-68.92434705
150.2512563	-68.04525961
150.7537688	-67.17641099
151.2562814	-66.31812367
151.758794	-65.47071608
152.2613065	-64.63450265
152.7638191	-63.80979391
153.2663317	-62.99689654
153.7688442	-62.19611354
154.2713568	-61.40774426
154.7738693	-60.63208448
155.2763819	-59.86942657
155.7788945	-59.12005952
156.281407	-58.3842691
156.7839196	-57.66233789
157.2864322	-56.95454545
157.7889447	-56.26116836
158.2914573	-55.5824804
158.7939698	-54.91875258
159.2964824	-54.12899176
159.798995	-53.32737583
160.3015075	-52.53034125
160.8040201	-51.73792057
161.3065327	-50.95014472
161.8090452	-50.16704308
162.3115578	-49.38864347
162.8140704	-48.61497219
163.3165829	-47.84605406
163.8190955	-47.08191241
164.321608	-46.32256913
164.8241206	-45.56804467
165.3266332	-44.81835807
165.8291457	-44.073527
166.3316583	-43.33356775
166.8341709	-42.59743213
167.3366834	-41.85156869
167.839196	-41.09253652
168.3417085	-40.32121021
168.8442211	-39.53846335
169.3467337	-38.74516857
169.8492462	-37.94219751
170.3517588	-37.13042092
170.8542714	-36.31070857
171.3567839	-35.48392936
171.8592965	-34.65095125
172.361809	-33.81264133
172.8643216	-32.96986581
173.3668342	-32.12349005
173.8693467	-31.27437854
174.3718593	-30.42339493
174.8743719	-29.57140206
175.3768844	-28.71926196
175.879397	-27.86783582
176.3819095	-27.01798408
176.8844221	-26.17056639
177.3869347	-25.32644161
177.8894472	-24.48646786
178.3919598	-23.6515025
178.8944724	-22.82240218
179.3969849	-22.00002279
179.8994975	-21.18521953
180.4020101	-20.37884686
180.9045226	-19.58175859
181.4070352	-18.79480779
181.9095477	-18.0188469
182.4120603	-17.25472766
182.9145729	-16.50330117
183.4170854	-15.76541786
183.919598	-15.04192753
184.4221106	-14.33367936
184.9246231	-13.64152189
185.4271357	-12.96630304
185.9296482	-12.30887014
186.4321608	-11.6700699
186.9346734	-11.05074846
187.4371859	-10.45175136
187.9396985	-9.873923585
188.4422111	-9.318109531
188.9447236	-8.785153043
189.4472362	-8.275897416
189.9497487	-7.791185395
190.4522613	-7.331859189
190.9547739	-6.898760476
191.4572864	-6.492730411
191.959799	-6.114609629
192.4623116	-5.765238257
192.9648241	-5.445455918
193.4673367	-5.156101735
193.9698492	-4.898014344
194.4723618	-4.672031895
194.9748744	-4.478992059
195.4773869	-4.319732035
195.9798995	-4.195088558
196.4824121	-4.1058979
196.9849246	-4.052995882
197.4874372	-4.037217873
197.9899497	-4.059398802
198.4924623	-4.12037316
198.9949749	-4.220975006
199.4974874	-4.362037974
200	-4.544395275
