r	sigma
100	-175.6791057
100.5025126	-175.071302
101.0050251	-174.4226716
101.5075377	-173.734774
102.0100503	-173.0091353
102.5125628	-172.2472487
103.0150754	-171.4495674
103.5175879	-170.6188737
104.0201005	-169.7567463
104.5226131	-168.8644357
105.0251256	-167.943176
105.5276382	-166.9941851
106.0301508	-166.0180506
106.5326633	-165.0162844
107.0351759	-163.9903711
107.5376884	-162.9415202
108.040201	-161.8709165
108.5427136	-160.7797213
109.0452261	-159.6690721
109.5477387	-158.5400841
110.0502513	-157.3938504
110.5527638	-156.2314424
111.0552764	-155.0539105
111.5577889	-153.8622847
112.0603015	-152.6575752
112.5628141	-151.4407724
113.0653266	-150.212848
113.5678392	-148.9747551
114.0703518	-147.7274289
114.5728643	-146.4715928
115.0753769	-145.2082149
115.5778894	-143.9385978
116.080402	-142.6636951
116.5829146	-141.3838199
117.0854271	-140.0996854
117.5879397	-138.8123595
118.0904523	-137.5226613
118.5929648	-136.2313783
119.0954774	-134.9392836
119.5979899	-133.647136
120.1005025	-132.3556807
120.6030151	-131.0656492
121.1055276	-129.7777599
121.6080402	-128.4927184
122.1105528	-127.2112176
122.6130653	-125.9339383
123.1155779	-124.6615488
123.6180905	-123.3947063
124.120603	-122.1322694
124.6231156	-120.8756959
125.1256281	-119.6266125
125.6281407	-118.3857164
126.1306533	-117.1536981
126.6331658	-115.9312417
127.1356784	-114.719025
127.638191	-113.5177196
128.1407035	-112.3279913
128.6432161	-111.1504995
129.1457286	-109.9858983
129.6482412	-108.8348356
130.1507538	-107.6979541
130.6532663	-106.5758908
131.1557789	-105.4692774
131.6582915	-104.3739674
132.160804	-103.2917412
132.6633166	-102.2251538
133.1658291	-101.1746836
133.6683417	-100.1398489
134.1708543	-99.10658489
134.6733668	-98.07279422
135.1758794	-97.03889412
135.678392	-96.00529571
136.1809045	-94.97240407
136.6834171	-93.94061841
137.1859296	-92.91033213
137.6884422	-91.88193296
138.1909548	-90.85580309
138.6934673	-89.83231922
139.1959799	-88.81185272
139.6984925	-87.79476971
140.201005	-86.78143116
140.7035176	-85.77219298
141.2060302	-84.76740614
141.7085427	-83.76741673
142.2110553	-82.7725661
142.7135678	-81.7831909
143.2160804	-80.79962319
143.718593	-79.82219055
144.2211055	-78.85121611
144.7236181	-77.88701869
145.2261307	-76.92991284
145.7286432	-75.98020896
146.2311558	-75.03821333
146.7336683	-74.10422821
147.2361809	-73.17855194
147.7386935	-72.26147898
148.241206	-71.35329997
148.7437186	-70.45430186
149.2462312	-69.56476791
149.7487437	-68.68497781
150.2512563	-67.81520771
150.7537688	-66.95573033
151.2562814	-66.10681495
151.758794	-65.26872756
152.2613065	-64.44173087
152.7638191	-63.62382265
153.2663317	-62.81706909
153.7688442	-62.02204025
154.2713568	-61.23899513
154.7738693	-60.46819075
155.2763819	-59.70988217
155.7788945	-58.96432253
156.281407	-58.23176309
156.7839196	-57.51245322
157.2864322	-56.80664049
157.7889447	-56.11457065
158.2914573	-55.43648768
158.7939698	-54.77263381
159.2964824	-54.12324956
159.798995	-53.48857375
160.3015075	-52.86884355
160.8040201	-52.26429446
161.3065327	-51.6751604
161.8090452	-51.1016737
162.3115578	-50.54406509
162.8140704	-50.00256381
163.3165829	-49.47739754
163.8190955	-48.9687925
164.321608	-48.47697343
164.8241206	-48.00216361
165.3266332	-47.54458492
165.8291457	-47.1044578
166.3316583	-46.68200135
166.8341709	-46.00141231
167.3366834	-44.78573155
167.839196	-43.58652707
168.3417085	-42.40386922
168.8442211	-41.23782743
169.3467337	-40.08847016
169.8492462	-38.95586496
170.3517588	-37.84007847
170.8542714	-36.74117643
171.3567839	-35.65922369
171.8592965	-34.59428422
172.361809	-33.54642114
172.8643216	-32.51569673
173.3668342	-31.50217243
173.8693467	-30.50590884
174.3718593	-29.52696576
174.8743719	-28.56540221
175.3768844	-27.6212764
175.879397	-26.69464576
176.3819095	-25.78556696
176.8844221	-24.89409593
177.3869347	-24.02028783
177.8894472	-23.1641971
178.3919598	-22.32587746
178.8944724	-21.50538192
179.3969849	-20.70276277
179.8994975	-19.91807162
180.4020101	-19.15135939
180.9045226	-18.40267633
181.4070352	-17.67207202
181.9095477	-16.95959538
182.4120603	-16.26529471
182.9145729	-15.58921765
183.4170854	-14.9314112
183.919598	-14.29192176
184.4221106	-13.67079512
184.9246231	-13.06807645
185.4271357	-12.48381033
185.9296482	-11.91804075
186.4321608	-11.37081115
186.9346734	-10.84216435
187.4371859	-10.33214263
187.9396985	-9.84078773
188.4422111	-9.368140811
188.9447236	-8.914242507
189.4472362	-8.479132917
189.9497487	-8.06285161
190.4522613	-7.665437635
190.9547739	-7.286929528
191.4572864	-6.927365318
191.959799	-6.586782532
192.4623116	-6.265218205
192.9648241	-5.962708884
193.4673367	-5.679290634
193.9698492	-5.414999046
194.4723618	-5.169869242
194.9748744	-4.943935883
195.4773869	-4.73723317
195.9798995	-4.549794856
196.4824121	-4.381654248
196.9849246	-4.232844212
197.4874372	-4.103397182
197.9899497	-3.993345164
198.4924623	-3.902719739
198.9949749	-3.831552073
199.4974874	-3.779872917
200	-3.747712618
