r	sigma
100	-175.5876848
100.5025126	-175.0006825
101.0050251	-174.3721052
101.5075377	-173.7035309
102.0100503	-172.9965024
102.5125628	-172.2525281
103.0150754	-171.4730833
103.5175879	-170.6596109
104.0201005	-169.8135225
104.5226131	-168.9361994
105.0251256	-168.028993
105.5276382	-167.0932262
106.0301508	-166.130194
106.5326633	-165.1411643
107.0351759	-164.1273785
107.5376884	-163.0900528
108.040201	-162.0303782
108.5427136	-160.9495219
109.0452261	-159.8486275
109.5477387	-158.7288158
110.0502513	-157.5911858
110.5527638	-156.4368145
111.0552764	-155.2667586
111.5577889	-154.0820542
112.0603015	-152.8837178
112.5628141	-151.6727466
113.0653266	-150.4501196
113.5678392	-149.2167973
114.0703518	-147.9583444
114.5728643	-146.6344848
115.0753769	-145.3023347
115.5778894	-143.963
116.080402	-142.617577
116.5829146	-141.2671522
117.0854271	-139.9128028
117.5879397	-138.5555968
118.0904523	-137.1965931
118.5929648	-135.8368418
119.0954774	-134.4773845
119.5979899	-133.1192543
120.1005025	-131.7634759
120.6030151	-130.4110661
121.1055276	-129.0630335
121.6080402	-127.7203793
122.1105528	-126.3840967
122.6130653	-125.0551718
123.1155779	-123.7345832
123.6180905	-122.4233023
124.120603	-121.1222936
124.6231156	-119.8325148
125.1256281	-118.5549167
125.6281407	-117.2904437
126.1306533	-116.0400335
126.6331658	-114.8046177
127.1356784	-113.5851216
127.638191	-112.3824644
128.1407035	-111.1975593
128.6432161	-110.0313136
129.1457286	-108.8846292
129.6482412	-107.758402
130.1507538	-106.6535224
130.6532663	-105.5708757
131.1557789	-104.5113416
131.6582915	-103.4757947
132.160804	-102.4651045
132.6633166	-101.4801354
133.1658291	-100.5217471
133.6683417	-99.58454887
134.1708543	-98.64877545
134.6733668	-97.71303724
135.1758794	-96.77748936
135.678392	-95.8422831
136.1809045	-94.90756603
136.6834171	-93.973482
137.1859296	-93.04017127
137.6884422	-92.08024691
138.1909548	-91.04479863
138.6934673	-90.01133669
139.1959799	-88.98030388
139.6984925	-87.95213686
140.201005	-86.92726621
140.7035176	-85.90611654
141.2060302	-84.88910654
141.7085427	-83.87664909
142.2110553	-82.86915136
142.7135678	-81.86701482
143.2160804	-80.87063539
143.718593	-79.8804035
144.2211055	-78.89670416
144.7236181	-77.91991705
145.2261307	-76.95041661
145.7286432	-75.98857211
146.2311558	-75.03474773
146.7336683	-74.08930268
147.2361809	-73.15259123
147.7386935	-72.22496285
148.241206	-71.30676223
148.7437186	-70.39832945
149.2462312	-69.49999999
149.7487437	-68.61210486
150.2512563	-67.73497068
150.7537688	-66.86891979
151.2562814	-66.0142703
151.758794	-65.1713362
152.2613065	-64.34042748
152.7638191	-63.52185019
153.2663317	-62.71590655
153.7688442	-61.92289506
154.2713568	-61.14311057
154.7738693	-60.37684441
155.2763819	-59.62438448
155.7788945	-58.88601533
156.281407	-58.16201831
156.7839196	-57.45267166
157.2864322	-56.75825061
157.7889447	-56.07902748
158.2914573	-55.41527185
158.7939698	-54.76725059
159.2964824	-54.13522807
159.798995	-53.51946621
160.3015075	-52.72390247
160.8040201	-51.93118468
161.3065327	-51.14274671
161.8090452	-50.35861092
162.3115578	-49.57879811
162.8140704	-48.80332757
163.3165829	-48.03221706
163.8190955	-47.2654829
164.321608	-46.50313992
164.8241206	-45.74520152
165.3266332	-44.9916797
165.8291457	-44.24258506
166.3316583	-43.49792684
166.8341709	-42.75652577
167.3366834	-42.00323607
167.839196	-41.23419125
168.3417085	-40.45034257
168.8442211	-39.65264035
169.3467337	-38.84203403
169.8492462	-38.01947214
170.3517588	-37.18590234
170.8542714	-36.34227141
171.3567839	-35.4895253
171.8592965	-34.6286091
172.361809	-33.76046706
172.8643216	-32.88604263
173.3668342	-32.00627846
173.8693467	-31.12211639
174.3718593	-30.23449749
174.8743719	-29.34436204
175.3768844	-28.45264958
175.879397	-27.5602989
176.3819095	-26.66824802
176.8844221	-25.77743429
177.3869347	-24.88879428
177.8894472	-24.00326389
178.3919598	-23.12177831
178.8944724	-22.24527206
179.3969849	-21.37467894
179.8994975	-20.51093213
180.4020101	-19.65496412
180.9045226	-18.80770675
181.4070352	-17.97009124
181.9095477	-17.14304815
182.4120603	-16.32750743
182.9145729	-15.52439843
183.4170854	-14.73464986
183.919598	-13.95918986
184.4221106	-13.19894597
184.9246231	-12.45484514
185.4271357	-11.72781375
185.9296482	-11.01877762
186.4321608	-10.328662
186.9346734	-9.658391601
187.4371859	-9.008890583
187.9396985	-8.381082568
188.4422111	-7.775890649
188.9447236	-7.194237399
189.4472362	-6.637044872
189.9497487	-6.105234614
190.4522613	-5.59972767
190.9547739	-5.121444589
191.4572864	-4.67130543
191.959799	-4.25022977
192.4623116	-3.859136709
192.9648241	-3.498944877
193.4673367	-3.170572442
193.9698492	-2.87493711
194.4723618	-2.612956137
194.9748744	-2.385546334
195.4773869	-2.19362407
195.9798995	-2.038105277
196.4824121	-1.919905462
196.9849246	-1.839939705
197.4874372	-1.799122667
197.9899497	-1.798368599
198.4924623	-1.838591341
198.9949749	-1.920704332
199.4974874	-2.045620612
200	-2.214252828
