r	sigma
100	99.85162754
100.5025126	100.7147717
101.0050251	101.6061251
101.5075377	102.5242303
102.0100503	103.4277529
102.5125628	104.2329553
103.0150754	105.072123
103.5175879	105.9438046
104.0201005	106.8465794
104.5226131	107.7790565
105.0251256	108.7398743
105.5276382	109.7276995
106.0301508	110.7412267
106.5326633	111.7791773
107.0351759	112.8402989
107.5376884	113.9233648
108.040201	115.0271732
108.5427136	116.1505465
109.0452261	117.2923306
109.5477387	118.4513946
110.0502513	119.6266298
110.5527638	120.8169492
111.0552764	122.0212872
111.5577889	123.2385986
112.0603015	124.4678585
112.5628141	125.7080614
113.0653266	126.9582207
113.5678392	128.2173685
114.0703518	129.4845549
114.5728643	130.7588474
115.0753769	132.0393305
115.5778894	133.3251056
116.080402	134.6152899
116.5829146	135.9090164
117.0854271	137.2054336
117.5879397	138.5037047
118.0904523	139.8030074
118.5929648	141.1025334
119.0954774	142.4014884
119.5979899	143.6990912
120.1005025	144.9945736
120.6030151	146.2871803
121.1055276	147.576168
121.6080402	148.8608055
122.1105528	150.1403734
122.6130653	151.4141636
123.1155779	152.6017189
123.6180905	153.7831502
124.120603	154.9590452
124.6231156	156.1292075
125.1256281	157.2934561
125.6281407	158.4516257
126.1306533	159.6035662
126.6331658	160.7491421
127.1356784	161.8882327
127.638191	163.0207313
128.1407035	164.1465455
128.6432161	165.2655964
129.1457286	166.3778185
129.6482412	167.4831597
130.1507538	168.5815807
130.6532663	169.6730548
131.1557789	170.7575678
131.6582915	171.8351179
132.160804	172.905715
132.6633166	173.9693809
133.1658291	175.0261487
133.6683417	176.0789178
134.1708543	177.1365953
134.6733668	178.1990577
135.1758794	179.2654599
135.678392	180.3349656
136.1809045	181.4067475
136.6834171	182.4799864
137.1859296	183.5538718
137.6884422	184.6276014
138.1909548	185.6306581
138.6934673	186.6210652
139.1959799	187.6087794
139.6984925	188.5933527
140.201005	189.574345
140.7035176	190.5513242
141.2060302	191.5238659
141.7085427	192.4915536
142.2110553	193.4539785
142.7135678	194.4107393
143.2160804	195.3614423
143.718593	196.305701
144.2211055	197.2431363
144.7236181	198.1733763
145.2261307	199.0960559
145.7286432	200.0108173
146.2311558	200.9173093
146.7336683	201.8151872
147.2361809	202.7041132
147.7386935	203.5837558
148.241206	204.4537897
148.7437186	205.313896
149.2462312	206.1637615
149.7487437	207.0030792
150.2512563	207.8315479
150.7537688	208.6488717
151.2562814	209.4547607
151.758794	210.24893
152.2613065	211.0311001
152.7638191	211.8009966
153.2663317	212.5583501
153.7688442	213.3028959
154.2713568	214.0343744
154.7738693	214.7525301
155.2763819	215.4571124
155.7788945	216.1478746
156.281407	216.8245747
156.7839196	217.4869743
157.2864322	218.1348391
157.7889447	218.7679389
158.2914573	219.3860467
158.7939698	219.9889394
159.2964824	220.4123787
159.798995	220.7876825
160.3015075	221.133309
160.8040201	221.4487145
161.3065327	221.7333587
161.8090452	221.9867052
162.3115578	222.2082211
162.8140704	222.3973771
163.3165829	222.5536475
163.8190955	222.6765097
164.321608	222.7654448
164.8241206	222.8199371
165.3266332	222.8394743
165.8291457	222.8235472
166.3316583	222.7716499
166.8341709	222.6837446
167.3366834	222.5657252
167.839196	222.4200383
168.3417085	222.2473592
168.8442211	222.0483656
169.3467337	221.8237373
169.8492462	221.5741563
170.3517588	221.3003069
170.8542714	221.0028756
171.3567839	220.6825509
171.8592965	220.3400236
172.361809	219.9759863
172.8643216	219.5911339
173.3668342	219.1861632
173.8693467	218.7617729
174.3718593	218.3186639
174.8743719	217.8575389
175.3768844	217.3791023
175.879397	216.8840607
176.3819095	216.3731224
176.8844221	215.8469975
177.3869347	215.3063979
177.8894472	214.7520373
178.3919598	214.1846311
178.8944724	213.6048965
179.3969849	213.0135523
179.8994975	212.4113192
180.4020101	211.7989191
180.9045226	211.177076
181.4070352	210.5465152
181.9095477	209.9079637
182.4120603	209.26215
182.9145729	208.6098043
183.4170854	207.9516581
183.919598	207.2884445
184.4221106	206.6208981
184.9246231	205.949755
185.4271357	205.2757524
185.9296482	204.5996295
186.4321608	203.9221263
186.9346734	203.2439847
187.4371859	202.5659475
187.9396985	201.8887592
188.4422111	201.2131654
188.9447236	200.5399131
189.4472362	199.8697506
189.9497487	199.2034275
190.4522613	198.5416945
190.9547739	197.8853037
191.4572864	197.2350083
191.959799	196.5915629
192.4623116	195.9557231
192.9648241	195.3282457
193.4673367	194.7098888
193.9698492	194.1014114
194.4723618	193.503574
194.9748744	192.9171377
195.4773869	192.3428652
195.9798995	191.7815201
196.4824121	191.2338669
196.9849246	190.7006714
197.4874372	190.1827004
197.9899497	189.6807216
198.4924623	189.1955039
198.9949749	188.727817
199.4974874	188.2784319
200	187.8481203
