r	sigma
100	93.50596815
100.5025126	94.99211709
101.0050251	96.47547516
101.5075377	97.95433454
102.0100503	99.42702319
102.5125628	100.8919041
103.0150754	102.3473742
103.5175879	103.7690515
104.0201005	105.1803339
104.5226131	106.581462
105.0251256	107.9709626
105.5276382	109.3474038
106.0301508	110.7093935
106.5326633	112.0555789
107.0351759	113.3846454
107.5376884	114.6953156
108.040201	115.9863485
108.5427136	117.2574551
109.0452261	118.5253703
109.5477387	119.7948048
110.0502513	121.0645405
110.5527638	122.3333921
111.0552764	123.6002058
111.5577889	124.8638401
112.0603015	126.1174195
112.5628141	127.3665943
113.0653266	128.6102953
113.5678392	129.8474739
114.0703518	131.0771017
114.5728643	132.2981699
115.0753769	133.5096887
115.5778894	134.7106871
116.080402	135.9002125
116.5829146	137.07733
117.0854271	138.2428257
117.5879397	139.407938
118.0904523	140.5726816
118.5929648	141.7362004
119.0954774	142.8976526
119.5979899	144.056211
120.1005025	145.2110623
120.6030151	146.3614069
121.1055276	147.5064592
121.6080402	148.6454464
122.1105528	149.777609
122.6130653	150.9022003
123.1155779	152.0184861
123.6180905	153.1257445
124.120603	154.22224
124.6231156	155.3079263
125.1256281	156.383062
125.6281407	157.459015
126.1306533	158.5403668
126.6331658	159.6264308
127.1356784	160.7165343
127.638191	161.8100183
128.1407035	162.9062373
128.6432161	164.0045588
129.1457286	165.1043635
129.6482412	166.2050444
130.1507538	167.3060072
130.6532663	168.4066696
131.1557789	169.5064614
131.6582915	170.604824
132.160804	171.7012102
132.6633166	172.7950843
133.1658291	173.8859216
133.6683417	174.9340467
134.1708543	175.959148
134.6733668	176.9801734
135.1758794	177.9963441
135.678392	179.0068898
136.1809045	180.0110485
136.6834171	181.0080668
137.1859296	181.997199
137.6884422	182.9777076
138.1909548	183.948863
138.6934673	184.909943
139.1959799	185.8602331
139.6984925	186.7990262
140.201005	187.7256224
140.7035176	188.639329
141.2060302	189.5394603
141.7085427	190.4206796
142.2110553	191.2524933
142.7135678	192.0998616
143.2160804	192.9624287
143.718593	193.8398454
144.2211055	194.7317686
144.7236181	195.6378616
145.2261307	196.5577936
145.7286432	197.49124
146.2311558	198.4378818
146.7336683	199.3974061
147.2361809	200.3695054
147.7386935	201.3538779
148.241206	202.3502273
148.7437186	203.3582626
149.2462312	204.3776983
149.7487437	205.4082538
150.2512563	206.4570266
150.7537688	207.5011869
151.2562814	208.5254361
151.758794	209.529345
152.2613065	210.5124895
152.7638191	211.4744507
153.2663317	212.4148145
153.7688442	213.3331719
154.2713568	214.2291184
154.7738693	215.1022546
155.2763819	215.9521855
155.7788945	216.7785207
156.281407	217.5808744
156.7839196	218.3588652
157.2864322	219.1121161
157.7889447	219.8402543
158.2914573	220.5429112
158.7939698	221.2197226
159.2964824	221.8703281
159.798995	222.4943716
160.3015075	223.0915007
160.8040201	223.661367
161.3065327	224.2036261
161.8090452	224.7179372
162.3115578	225.2039633
162.8140704	225.661371
163.3165829	226.0898307
163.8190955	226.489016
164.321608	226.8586044
164.8241206	227.1982766
165.3266332	227.5077167
165.8291457	227.7866123
166.3316583	228.0346542
166.8341709	227.9351715
167.3366834	227.1970402
167.839196	226.4654466
168.3417085	225.7400727
168.8442211	225.0206035
169.3467337	224.3067262
169.8492462	223.5981306
170.3517588	222.894509
170.8542714	222.195556
171.3567839	221.5009686
171.8592965	220.810446
172.361809	220.1236901
172.8643216	219.4404046
173.3668342	218.7602958
173.8693467	218.083072
174.3718593	217.4084436
174.8743719	216.7361234
175.3768844	216.0658262
175.879397	215.3972687
176.3819095	214.7301699
176.8844221	214.0642507
177.3869347	213.3992341
177.8894472	212.7348448
178.3919598	212.0708098
178.8944724	211.4068576
179.3969849	210.742719
179.8994975	210.0781265
180.4020101	209.4128141
180.9045226	208.7465182
181.4070352	208.0789766
181.9095477	207.4099288
182.4120603	206.7391163
182.9145729	206.0662821
183.4170854	205.391326
183.919598	204.721393
184.4221106	204.0604423
184.9246231	203.4084224
185.4271357	202.7652826
185.9296482	202.1309724
186.4321608	201.5054423
186.9346734	200.8886428
187.4371859	200.2805255
187.9396985	199.6810419
188.4422111	199.0901446
188.9447236	198.5077863
189.4472362	197.9339204
189.9497487	197.3685007
190.4522613	196.8114816
190.9547739	196.2628179
191.4572864	195.7224647
191.959799	195.190378
192.4623116	194.6665138
192.9648241	194.1508289
193.4673367	193.6432803
193.9698492	193.1438257
194.4723618	192.652423
194.9748744	192.1690306
195.4773869	191.6936074
195.9798995	191.2261127
196.4824121	190.7665062
196.9849246	190.3147479
197.4874372	189.8707984
197.9899497	189.4346186
198.4924623	189.0061698
198.9949749	188.5854136
199.4974874	188.1723122
200	187.7668281
