r	sigma
100	100.9413759
100.5025126	101.5497345
101.0050251	102.2002477
101.5075377	102.8913142
102.0100503	103.6213633
102.5125628	104.3888537
103.0150754	105.1922739
103.5175879	106.0301405
104.0201005	106.9009987
104.5226131	107.8034212
105.0251256	108.7360078
105.5276382	109.6973848
106.0301508	110.6862046
106.5326633	111.7011449
107.0351759	112.7409084
107.5376884	113.8042224
108.040201	114.8898378
108.5427136	115.996529
109.0452261	117.1230932
109.5477387	118.2683499
110.0502513	119.4311406
110.5527638	120.6103279
111.0552764	121.8047955
111.5577889	123.0134473
112.0603015	124.2352071
112.5628141	125.4336175
113.0653266	126.6159304
113.5678392	127.8066377
114.0703518	129.0049283
114.5728643	130.210016
115.0753769	131.4211394
115.5778894	132.637561
116.080402	133.8585666
116.5829146	135.0834654
117.0854271	136.3115888
117.5879397	137.5422902
118.0904523	138.7749446
118.5929648	140.0089482
119.0954774	141.2437177
119.5979899	142.47869
120.1005025	143.7133219
120.6030151	144.9470894
121.1055276	146.1794877
121.6080402	147.4100304
122.1105528	148.6382493
122.6130653	149.8636942
123.1155779	151.0859321
123.6180905	152.3045473
124.120603	153.5191409
124.6231156	154.7293301
125.1256281	155.9347486
125.6281407	157.1350456
126.1306533	158.3298859
126.6331658	159.5189493
127.1356784	160.7019305
127.638191	161.878539
128.1407035	163.0484981
128.6432161	164.2115456
129.1457286	165.3674326
129.6482412	166.5159238
130.1507538	167.6567973
130.6532663	168.7898439
131.1557789	169.9148671
131.6582915	171.031683
132.160804	172.1401197
132.6633166	173.2400175
133.1658291	174.3312283
133.6683417	175.4165578
134.1708543	176.5051134
134.6733668	177.5968183
135.1758794	178.690856
135.678392	179.7864185
136.1809045	180.8827068
136.6834171	181.97893
137.1859296	183.0743058
137.6884422	184.1680598
138.1909548	185.2594259
138.6934673	186.3476455
139.1959799	187.4319681
139.6984925	188.4615942
140.201005	189.4431755
140.7035176	190.420886
141.2060302	191.3943112
141.7085427	192.3630444
142.2110553	193.3266865
142.7135678	194.2848459
143.2160804	195.2371385
143.718593	196.183187
144.2211055	197.1226218
144.7236181	198.05508
145.2261307	198.9802055
145.7286432	199.8976491
146.2311558	200.8070684
146.7336683	201.7081272
147.2361809	202.6004957
147.7386935	203.4838507
148.241206	204.3578746
148.7437186	205.2222562
149.2462312	206.07669
149.7487437	206.9208762
150.2512563	207.7545205
150.7537688	208.5773343
151.2562814	209.3890341
151.758794	210.1893417
152.2613065	210.977984
152.7638191	211.7546927
153.2663317	212.5192044
153.7688442	213.2712604
154.2713568	214.0106066
154.7738693	214.7369931
155.2763819	215.4501745
155.7788945	216.1499095
156.281407	216.835961
156.7839196	217.5080955
157.2864322	218.09296
157.7889447	218.5649144
158.2914573	219.0090237
158.7939698	219.4247538
159.2964824	219.8115744
159.798995	220.1689592
160.3015075	220.4963857
160.8040201	220.7933349
161.3065327	221.0592919
161.8090452	221.293745
162.3115578	221.4961862
162.8140704	221.6661111
163.3165829	221.8030187
163.8190955	221.9064114
164.321608	221.9757949
164.8241206	222.0106781
165.3266332	222.0105735
165.8291457	221.9749965
166.3316583	221.9034656
166.8341709	221.7959042
167.3366834	221.6574092
167.839196	221.4902152
168.3417085	221.2950409
168.8442211	221.0726073
169.3467337	220.8236377
169.8492462	220.5488573
170.3517588	220.2489937
170.8542714	219.9247764
171.3567839	219.576937
171.8592965	219.2062093
172.361809	218.8133288
172.8643216	218.3990333
173.3668342	217.9640622
173.8693467	217.5091572
174.3718593	217.0350616
174.8743719	216.5425208
175.3768844	216.0322817
175.879397	215.5050933
176.3819095	214.9617063
176.8844221	214.4028732
177.3869347	213.8293481
177.8894472	213.241887
178.3919598	212.6412474
178.8944724	212.0281885
179.3969849	211.4034714
179.8994975	210.7678584
180.4020101	210.1221138
180.9045226	209.467003
181.4070352	208.8032934
181.9095477	208.1317537
182.4120603	207.4531542
182.9145729	206.7682666
183.4170854	206.0778641
183.919598	205.3827214
184.4221106	204.6836145
184.9246231	203.9813209
185.4271357	203.2766196
185.9296482	202.5702907
186.4321608	201.8631158
186.9346734	201.1558779
187.4371859	200.4493612
187.9396985	199.7443513
188.4422111	199.0416349
188.9447236	198.3420002
189.4472362	197.6462365
189.9497487	196.9551343
190.4522613	196.2694854
190.9547739	195.5900829
191.4572864	194.9177207
191.959799	194.2531943
192.4623116	193.5973001
192.9648241	192.9508357
193.4673367	192.3145999
193.9698492	191.6893924
194.4723618	191.0760143
194.9748744	190.4752674
195.4773869	189.8879549
195.9798995	189.3148809
196.4824121	188.7568506
196.9849246	188.2146701
197.4874372	187.6891465
197.9899497	187.1810882
198.4924623	186.6913043
198.9949749	186.2206049
199.4974874	185.7698012
200	185.3397051
